STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10699,2,1,1,3,12,12,56,14,0,2,0,1,6,23,881,23881,62,2000,1GDK7H1C7YJ5,1,G,D,K,7,H,1,C,7,Y,J,5,T,GMC,7H4,CB,0,17,,6,2810,1450,CSR,D,,,6,439,,,,,00000,00,,42,1,88,888888888,88888888888,2,98,28,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10718,2,1,0,27,11,20,19,14,0,2,0,92,6,20,9,20009,2,1988,1G1FP218XJL1,1,G,1,F,P,2,1,8,X,J,L,1,P,CHEV,CAM,CP,88,17,2983,,0,1010,,G,,F,8,350,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,4,12,0,0,0,0
1,10718,3,1,0,27,11,20,19,14,0,2,0,1,6,20,9,20009,2,1995,2G1FP22S1S21,2,G,1,F,P,2,2,S,1,S,2,1,P,CHEV,CAM,CP,95,17,3251,,0,1011,,G,,F,6,207,,,16R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,4,12,0,0,0,0
1,10795,2,1,1,2,11,9,25,14,0,3,0,1,6,23,461,23461,21,2002,1GTGG29R5211,1,G,T,G,G,2,9,R,5,2,1,1,T,GMC,SA2,EC,2,17,,2,0,1550,SAV,G,,,8,350,,,,C,4885,00,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
2,20041,2,1,0,24,11,14,13,14,0,2,0,2,6,23,481,23481,31,2005,1GTHK39U55E1,1,G,T,H,K,3,9,U,5,5,E,1,T,GMC,NK3,4C,5,17,,2,0,1575,SIE,G,,,8,366,,,,D,6239,01,U,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,6,2,12,42,0,0,0
2,20041,3,1,0,24,11,14,13,14,0,2,0,2,6,12,401,12401,14,1998,1FMZU34EXWZA,1,F,M,Z,U,3,4,E,X,W,Z,A,P,FORD,EPR,UT,98,17,4146,,0,1115,,G,,F,6,245,,,15R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,83,4,3,12,0,0,0,0
4,40116,2,1,0,28,2,13,3,8,0,2,0,4,6,12,461,12461,21,1997,1FTEE1427VHB,1,F,T,E,E,1,4,2,7,V,H,B,T,FORD,15V,CG,97,17,,2,0,1380,VAN,G,,,6,256,,,,B,4677,00,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,4,12,0,0,0,0
4,40116,3,1,0,28,2,13,3,8,0,2,0,99,6,35,43,35043,9,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,4,12,0,0,0,0
4,40227,2,1,0,28,4,3,6,1,0,3,0,4,6,9,442,9442,20,1997,2P4FP25B1VR4,2,P,4,F,P,2,5,B,1,V,R,4,P,PLYM,VOF,SV,97,17,3431,,0,1133,,G,,F,4,148,,,14R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,4,12,0,0,0,0
4,40326,2,1,0,6,6,11,54,8,0,2,0,4,6,20,37,20037,4,1998,1G1ND52MXW61,1,G,1,N,D,5,2,M,X,W,6,1,P,CHEV,MAL,4D,98,17,3100,,0,1070,,G,,F,6,191,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,3,14,0,0,0,0
