STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
4,40603,0,1,3
4,40611,0,1,3
4,40614,0,1,6
4,40620,0,1,5
4,40622,0,1,3
4,40628,0,1,3
4,40634,0,1,3
4,40635,0,1,3
4,40637,0,1,3
4,40637,0,1,4
4,40642,0,1,98
4,40643,0,1,99
4,40645,0,1,3
4,40647,0,1,3
4,40651,0,1,3
4,40653,0,1,3
4,40653,0,1,4
4,40669,0,1,3
4,40670,0,1,8
4,40678,0,1,3
4,40684,0,1,5
4,40690,0,1,3
4,40692,0,1,5
4,40693,0,1,3
4,40697,0,1,3
4,40698,0,1,3
4,40702,0,1,3
4,40703,0,1,3
4,40714,0,1,5
4,40714,0,1,12
4,40718,0,1,3
4,40718,0,1,4
4,40718,0,2,3
4,40718,0,2,4
4,40724,0,1,3
4,40725,0,1,3
4,40732,0,1,3
4,40737,0,1,3
4,40739,0,1,11
4,40739,0,1,12
4,40741,0,1,3
4,40748,0,1,3
4,40751,0,1,12
4,40751,0,1,16
4,40751,0,2,12
4,40751,0,2,16
4,40754,0,1,99
5,50002,0,1,8
5,50026,0,1,6
5,50026,0,1,12
5,50028,0,1,3
5,50030,0,1,3
5,50045,0,1,3
5,50051,0,1,3
5,50056,0,1,3
5,50056,0,1,8
5,50057,0,1,3
5,50057,0,1,8
5,50061,0,1,5
5,50073,0,1,5
5,50078,0,1,6
5,50088,0,1,14
5,50097,0,1,14
5,50097,0,2,14
5,50098,0,1,3
5,50100,0,1,14
5,50116,0,1,14
5,50117,0,1,5
5,50150,0,1,16
5,50154,0,1,3
5,50156,0,1,8
5,50158,0,1,8
5,50158,0,1,14
5,50174,0,1,14
5,50188,0,1,14
5,50206,0,1,3
5,50249,0,1,3
5,50259,0,1,5
5,50306,0,1,8
5,50310,0,1,14
5,50323,0,1,9
5,50338,0,1,14
5,50339,0,1,3
5,50340,0,1,3
5,50362,0,1,14
5,50367,0,1,3
5,50367,0,1,4
5,50367,0,1,8
5,50372,0,1,5
5,50375,0,1,6
5,50375,0,2,6
5,50415,0,1,5
5,50426,0,1,8
5,50438,0,1,3
5,50447,0,1,3
5,50452,0,1,9
5,50457,0,1,3
5,50458,0,1,8
5,50462,0,1,14
5,50469,0,1,3
5,50474,0,1,3
5,50476,0,1,14
5,50485,0,1,99
5,50487,0,1,3
5,50492,0,1,3
5,50492,0,2,3
5,50494,0,1,14
5,50495,0,1,3
5,50502,0,1,3
5,50509,0,1,16
5,50509,0,2,16
6,60010,0,1,3
6,60011,0,1,3
6,60012,0,1,3
6,60014,0,1,3
6,60015,0,1,8
6,60016,0,1,8
6,60025,0,1,3
6,60029,0,1,3
6,60030,0,1,3
6,60038,0,1,3
6,60044,0,1,3
6,60045,0,1,3
6,60046,0,1,3
6,60047,0,1,3
6,60054,0,1,3
6,60057,0,1,3
6,60069,0,1,3
6,60073,0,1,5
6,60080,0,1,3
6,60085,0,1,3
6,60086,0,1,3
6,60089,0,1,3
6,60090,0,1,3
6,60092,0,1,3
6,60094,0,1,5
6,60097,0,1,3
6,60104,0,1,3
6,60104,0,2,3
6,60106,0,1,3
6,60107,0,1,3
6,60113,0,1,3
6,60118,0,1,5
6,60120,0,1,3
6,60122,0,1,3
6,60127,0,1,3
6,60128,0,1,3
6,60128,0,1,12
6,60130,0,1,3
6,60133,0,1,3
6,60137,0,1,3
6,60138,0,1,3
6,60139,0,1,3
6,60141,0,1,5
6,60142,0,1,6
6,60144,0,1,3
6,60146,0,1,3
6,60152,0,1,3
6,60156,0,1,15
6,60156,0,2,15
6,60160,0,1,3
6,60161,0,1,3
6,60164,0,1,3
6,60165,0,1,98
6,60166,0,1,3
6,60175,0,1,3
6,60177,0,1,3
6,60180,0,1,99
6,60182,0,1,3
6,60183,0,1,3
6,60183,0,2,3
6,60184,0,1,14
6,60185,0,1,99
6,60186,0,1,3
6,60190,0,1,3
6,60191,0,1,8
6,60193,0,1,3
6,60194,0,1,3
6,60195,0,1,14
6,60196,0,1,3
6,60197,0,1,3
6,60198,0,1,3
6,60202,0,1,5
6,60204,0,1,14
6,60206,0,1,5
6,60209,0,1,3
6,60211,0,1,12
6,60213,0,1,3
6,60225,0,1,3
6,60225,0,2,3
6,60226,0,1,5
6,60232,0,1,3
6,60237,0,1,3
6,60240,0,1,3
6,60247,0,1,3
6,60248,0,1,5
6,60251,0,1,3
6,60252,0,1,3
6,60253,0,1,5
6,60256,0,1,3
6,60262,0,1,3
6,60264,0,1,3
6,60273,0,1,12
6,60273,0,2,12
6,60275,0,1,3
6,60292,0,1,3
6,60299,0,1,3
6,60300,0,1,3
6,60306,0,1,14
6,60306,0,2,14
6,60306,0,3,14
6,60306,0,4,14
6,60311,0,1,3
6,60312,0,1,3
6,60318,0,1,3
6,60320,0,1,3
6,60321,0,1,8
6,60325,0,1,5
6,60326,0,1,5
6,60330,0,1,3
6,60335,0,1,8
6,60336,0,1,3
6,60337,0,1,3
6,60339,0,1,9
6,60340,0,1,8
6,60343,0,1,3
6,60345,0,1,3
6,60346,0,1,5
6,60349,0,1,5
6,60350,0,1,3
6,60357,0,1,3
6,60358,0,1,3
6,60361,0,1,3
6,60364,0,1,3
6,60366,0,1,3
6,60368,0,1,3
6,60371,0,1,3
6,60372,0,1,6
6,60375,0,1,14
6,60379,0,1,3
6,60379,0,1,12
6,60382,0,1,3
6,60384,0,1,3
6,60388,0,1,3
6,60390,0,1,11
6,60390,0,1,12
6,60390,0,2,11
6,60390,0,2,12
6,60391,0,1,3
6,60403,0,1,5
6,60412,0,1,3
6,60413,0,1,14
6,60414,0,1,3
6,60419,0,1,8
6,60428,0,1,3
6,60432,0,1,12
6,60434,0,1,3
6,60437,0,1,3
6,60439,0,1,5
6,60444,0,1,3
6,60444,0,2,3
6,60445,0,1,3
6,60446,0,1,3
6,60458,0,1,3
6,60464,0,1,3
6,60465,0,1,3
6,60466,0,1,3
6,60468,0,1,3
6,60474,0,1,8
6,60477,0,1,8
6,60485,0,1,3
6,60487,0,1,3
6,60492,0,1,3
6,60493,0,1,3
6,60497,0,1,6
6,60517,0,1,3
6,60524,0,1,3
6,60526,0,1,3
6,60533,0,1,8
6,60534,0,1,3
6,60534,0,1,12
6,60535,0,1,3
6,60536,0,1,3
6,60539,0,1,3
6,60541,0,1,5
6,60543,0,1,3
6,60544,0,1,3
6,60545,0,1,3
6,60547,0,1,3
6,60549,0,1,99
6,60550,0,1,10
6,60551,0,1,3
6,60552,0,1,99
6,60553,0,1,6
6,60555,0,1,3
6,60560,0,1,3
6,60565,0,1,3
6,60568,0,1,7
6,60568,0,2,7
6,60574,0,1,3
6,60578,0,1,3
6,60580,0,1,3
6,60581,0,1,3
6,60585,0,1,3
6,60586,0,1,5
6,60589,0,1,3
6,60598,0,1,3
6,60607,0,1,8
6,60617,0,1,3
6,60621,0,1,5
6,60623,0,1,3
6,60627,0,1,3
6,60633,0,1,3
6,60638,0,1,3
6,60642,0,1,3
6,60643,0,1,7
6,60643,0,2,7
6,60643,0,3,6
6,60646,0,1,3
6,60650,0,1,3
6,60661,0,1,8
6,60677,0,1,3
6,60679,0,1,3
6,60681,0,1,3
6,60684,0,1,5
6,60692,0,1,5
6,60702,0,1,2
6,60702,0,2,2
6,60702,0,3,2
6,60707,0,1,5
6,60710,0,1,3
6,60714,0,1,3
6,60718,0,1,3
6,60723,0,1,3
6,60725,0,1,3
6,60728,0,1,3
6,60730,0,1,3
6,60731,0,1,3
6,60735,0,1,3
6,60736,0,1,99
6,60746,0,1,3
6,60748,0,1,3
6,60750,0,1,3
6,60751,0,1,3
6,60752,0,1,3
6,60756,0,1,3
6,60758,0,1,3
6,60763,0,1,3
6,60765,0,1,12
6,60770,0,1,5
6,60771,0,1,3
6,60782,0,1,3
6,60793,0,1,3
6,60796,0,1,3
6,60798,0,1,3
6,60800,0,1,3
6,60811,0,1,3
6,60815,0,1,8
6,60819,0,1,3
6,60823,0,1,99
6,60827,0,1,3
6,60833,0,1,3
6,60840,0,1,2
6,60841,0,1,6
6,60845,0,1,5
6,60847,0,1,5
6,60850,0,1,6
6,60856,0,1,3
6,60857,0,1,3
6,60858,0,1,3
6,60861,0,1,3
6,60862,0,1,8
6,60863,0,1,3
6,60868,0,1,6
6,60869,0,1,3
6,60871,0,1,3
6,60873,0,1,9
6,60877,0,1,8
6,60879,0,1,7
6,60879,0,2,7
6,60890,0,1,3
6,60908,0,1,3
6,60911,0,1,3
6,60918,0,1,3
6,60921,0,1,3
6,60923,0,1,98
6,60924,0,1,5
6,60929,0,1,3
6,60930,0,1,3
6,60937,0,1,5
6,60939,0,1,3
6,60947,0,1,12
6,60947,0,2,12
6,60948,0,1,3
6,60960,0,1,9
6,60960,0,2,9
6,60964,0,1,5
6,60964,0,1,8
6,60975,0,1,6
6,60975,0,1,9
6,60977,0,1,3
6,60979,0,1,3
6,60981,0,1,12
6,60983,0,1,3
6,60987,0,1,6
6,60988,0,1,9
6,60992,0,1,3
6,60996,0,1,3
6,61003,0,1,3
6,61007,0,1,5
6,61007,0,1,9
6,61016,0,1,12
6,61016,0,2,12
6,61021,0,1,3
6,61023,0,1,12
6,61028,0,1,5
6,61032,0,1,3
6,61035,0,1,3
6,61035,0,2,3
6,61035,0,3,3
6,61036,0,1,12
6,61047,0,1,3
6,61049,0,1,3
6,61050,0,1,6
6,61051,0,1,11
6,61061,0,1,3
6,61067,0,1,3
6,61071,0,1,14
6,61073,0,1,5
6,61080,0,1,3
6,61082,0,1,3
6,61086,0,1,3
6,61110,0,1,9
6,61110,0,1,12
6,61111,0,1,3
6,61119,0,1,2
6,61125,0,1,14
6,61135,0,1,8
6,61146,0,1,3
6,61151,0,1,3
6,61154,0,1,3
6,61158,0,1,3
6,61164,0,1,3
6,61168,0,1,15
6,61170,0,1,14
6,61181,0,1,3
6,61184,0,1,5
6,61185,0,1,3
6,61187,0,1,3
6,61190,0,1,5
6,61192,0,1,3
6,61193,0,1,15
6,61205,0,1,3
6,61226,0,1,8
6,61228,0,1,6
6,61237,0,1,3
6,61237,0,2,3
6,61238,0,1,3
6,61241,0,1,3
6,61243,0,1,3
6,61247,0,1,5
6,61247,0,2,5
6,61248,0,1,3
6,61249,0,1,3
6,61250,0,1,3
6,61252,0,1,3
6,61257,0,1,12
6,61258,0,1,5
6,61259,0,1,5
6,61259,0,2,5
6,61260,0,1,14
6,61266,0,1,3
6,61267,0,1,9
6,61268,0,1,3
6,61269,0,1,2
6,61275,0,1,3
6,61276,0,1,7
6,61281,0,1,12
6,61282,0,1,3
6,61287,0,1,3
6,61290,0,1,3
6,61290,0,2,3
6,61291,0,1,3
6,61293,0,1,3
6,61294,0,1,3
6,61302,0,1,3
6,61303,0,1,3
6,61310,0,1,3
6,61311,0,1,12
6,61323,0,1,3
6,61325,0,1,3
6,61331,0,1,3
6,61332,0,1,3
6,61335,0,1,5
6,61343,0,1,3
6,61343,0,2,3
6,61346,0,1,3
6,61347,0,1,8
6,61348,0,1,5
6,61349,0,1,3
6,61350,0,1,3
6,61351,0,1,5
6,61352,0,1,3
6,61356,0,1,3
6,61359,0,1,3
6,61360,0,1,98
6,61361,0,1,3
6,61367,0,1,3
6,61372,0,1,9
6,61372,0,2,9
6,61374,0,1,3
6,61375,0,1,3
6,61376,0,1,6
6,61377,0,1,3
6,61379,0,1,8
6,61379,0,2,8
6,61383,0,1,3
6,61386,0,1,5
6,61387,0,1,5
6,61391,0,1,3
6,61391,0,2,3
6,61394,0,1,3
6,61394,0,2,3
6,61397,0,1,3
6,61398,0,1,3
6,61398,0,2,3
6,61398,0,3,3
6,61403,0,1,3
6,61405,0,1,5
6,61417,0,1,5
6,61422,0,1,14
6,61431,0,1,3
