ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,26,26,26,26,26,26,26,26,26,26
10002,31,31,31,31,31,31,31,31,31,31
10003,0,0,14,0,17,15,0,15,16,15
10004,0,0,0,0,0,0,0,0,0,0
10005,0,12,0,0,0,14,0,0,0,0
10006,0,0,0,0,0,0,0,0,0,0
10007,17,17,17,17,17,17,17,17,17,17
10008,0,0,0,0,0,0,0,0,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,0,0,0,0,0,0,0,0,0,0
10011,0,0,0,0,0,0,0,0,0,0
10012,2,2,2,2,2,2,2,2,2,2
10013,33,33,33,33,33,33,33,33,33,33
10014,4,4,4,4,4,4,4,4,4,4
10015,0,0,0,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,0,0
10017,0,15,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,0,0,0,0,0,0,0,0,0,0
10020,35,17,14,11,21,22,14,33,31,18
10021,32,32,32,32,32,32,32,32,32,32
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,1,1,1,1,1,1,1,1,1,1
10025,0,0,0,0,0,0,0,0,0,0
10026,0,0,13,0,0,0,0,0,0,0
10027,13,13,13,13,13,13,13,13,13,13
10028,0,0,0,18,0,0,0,0,0,0
10029,0,0,0,28,0,0,0,0,14,25
10030,22,5,5,9,11,7,27,28,6,9
10031,0,0,0,0,0,0,0,0,0,0
10032,26,8,12,29,12,20,36,28,8,16
10033,0,0,0,0,0,0,0,0,0,0
10034,18,18,18,18,18,18,18,18,18,18
10035,0,0,0,0,0,0,0,0,0,0
10036,14,14,14,14,14,14,14,14,14,14
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,0,0,0,0,0,0,0,0,0,17
10040,0,0,0,0,0,0,0,0,0,0
10041,0,0,0,0,0,0,0,0,0,0
10042,18,0,0,0,0,0,0,0,0,0
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,22,31,0,0,0,8,0,25
10045,2,2,2,2,2,2,2,2,2,2
10046,0,0,0,0,0,0,0,0,0,0
10047,16,0,0,0,0,0,0,11,0,0
10048,0,0,0,0,0,0,0,0,0,0
10049,14,14,14,14,14,14,14,14,14,14
10050,24,24,24,24,24,24,24,24,24,24
10051,0,0,0,0,0,0,0,0,0,0
10052,0,24,15,10,13,0,0,0,50,13
10053,0,0,0,0,0,0,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,0,0,0,0
10056,0,0,0,0,0,0,0,0,0,0
10057,0,0,0,0,0,0,0,0,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,0
10060,0,0,0,0,0,0,0,0,0,0
10061,0,0,0,6,0,0,0,0,0,0
10062,0,16,0,27,0,13,0,0,0,0
10063,0,0,0,0,0,0,0,0,0,0
10064,0,0,0,0,0,0,0,0,0,0
10065,24,24,24,24,24,24,24,24,24,24
10066,8,16,0,16,19,0,24,27,20,21
10067,22,22,22,22,22,22,22,22,22,22
10068,0,0,0,0,0,0,0,0,0,12
10069,0,0,0,0,0,0,0,0,0,0
10070,0,0,0,0,0,0,0,0,0,15
10071,1,1,1,1,1,1,1,1,1,1
10072,0,0,0,0,0,0,0,28,0,0
10073,0,0,0,0,0,0,0,0,0,0
10074,20,20,20,20,20,20,20,20,20,20
10075,0,0,0,0,0,0,0,23,0,0
10076,29,29,29,29,29,29,29,29,29,29
10077,19,19,19,19,19,19,19,19,19,19
10078,24,24,24,24,24,24,24,24,24,24
10079,18,18,18,18,18,18,18,18,18,18
10080,12,23,26,30,16,17,24,21,23,6
10081,0,14,0,17,7,12,0,0,0,0
10082,25,25,20,5,21,25,0,17,20,33
10083,0,0,0,0,0,0,0,0,0,0
10084,14,14,14,14,14,14,14,14,14,14
10085,11,11,11,11,11,11,11,11,11,11
10086,25,25,25,25,25,25,25,25,25,25
10087,0,0,0,0,0,0,0,0,0,0
10088,14,14,14,14,14,14,14,14,14,14
10089,15,15,15,15,15,15,15,15,15,15
10090,0,0,0,0,0,0,0,0,0,0
10091,0,0,0,0,0,0,0,0,0,0
10092,7,7,0,0,21,21,0,21,17,34
10093,14,14,14,14,14,14,14,14,14,14
10094,21,21,21,21,21,21,21,21,21,21
10095,0,0,11,0,0,0,11,33,9,0
10096,29,29,29,29,29,29,29,29,29,29
10097,12,12,12,12,12,12,12,12,12,12
10098,13,10,10,10,10,10,12,10,10,10
10099,0,0,0,0,0,0,0,0,0,0
10100,17,17,17,17,17,17,17,17,17,17
10101,31,0,0,0,19,0,0,0,0,32
10102,17,17,17,17,17,17,17,17,17,17
10103,20,20,20,20,20,20,20,20,20,20
10104,0,0,0,0,0,0,0,0,0,0
10105,0,0,26,19,0,0,0,0,0,0
10106,0,0,0,0,0,0,0,0,0,0
10107,38,20,5,9,19,18,23,10,23,17
10108,11,20,12,38,19,20,16,23,23,3
10109,0,0,0,0,0,0,0,0,0,0
10110,22,3,17,11,20,5,24,8,17,20
10111,0,0,0,0,0,0,0,0,0,0
10112,0,0,0,0,22,0,0,0,0,0
10113,28,28,28,28,28,28,28,28,28,28
10114,5,27,26,20,0,3,25,25,11,27
10115,0,0,0,0,0,0,0,0,0,0
10116,20,20,20,20,20,20,20,20,20,20
10117,0,0,0,0,0,0,0,0,0,0
10118,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0
10120,17,17,17,17,17,17,17,17,17,17
10121,27,27,27,27,27,27,27,27,27,27
10122,0,0,0,0,0,0,0,0,0,0
10123,0,0,0,0,0,0,0,0,0,0
10124,0,0,0,32,10,0,25,0,0,21
10125,0,23,0,23,8,28,0,46,18,0
10126,26,26,26,26,26,26,26,26,26,26
10127,0,0,20,0,0,14,0,0,0,11
10128,0,0,0,0,0,0,0,0,0,0
10129,0,0,0,18,0,0,0,0,19,0
10130,18,23,21,0,0,27,0,31,22,21
10131,28,28,28,28,28,28,28,28,28,28
10132,11,18,17,10,23,30,30,25,17,14
10133,0,0,0,0,0,0,0,0,0,0
10134,0,0,0,0,0,0,0,0,0,0
10135,0,0,0,0,0,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,0,0
10137,18,18,18,18,18,18,18,18,18,18
10138,0,0,0,0,0,0,0,0,0,0
10139,20,20,20,20,20,20,20,20,20,20
10140,18,18,18,18,18,18,18,18,18,18
10141,0,0,13,0,19,23,0,0,28,0
10142,0,0,0,0,0,0,0,0,0,0
10143,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,0,0,0,6,0,0,0,0,10,14
10146,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,0,0,0,0,0,0,0
10148,17,3,6,9,7,12,7,18,4,6
10149,20,30,11,34,23,32,13,39,18,28
10150,0,0,0,0,0,0,0,0,0,0
10151,0,0,0,0,0,0,0,0,0,0
10152,0,0,0,0,0,0,0,0,0,0
10153,8,8,8,8,8,8,8,8,8,8
10154,18,18,18,18,18,18,18,18,18,18
10155,16,29,30,0,21,0,19,6,12,14
10156,17,17,17,17,17,17,17,17,17,17
10157,18,18,18,18,18,18,18,18,18,18
10158,0,0,0,0,0,0,0,0,0,0
10159,1,1,1,1,1,1,1,1,1,1
10160,0,21,15,10,22,34,24,18,18,10
10161,0,0,0,0,0,0,0,0,0,0
10162,0,0,0,0,0,0,0,0,0,0
10163,27,30,8,13,6,38,4,36,37,18
10164,20,20,20,20,20,20,20,20,20,20
10165,33,33,33,33,33,33,33,33,33,33
10166,21,21,21,21,21,21,21,21,21,21
10167,21,21,21,21,21,21,21,21,21,21
10168,21,21,21,21,21,21,21,21,21,21
10169,17,17,17,17,17,17,17,17,17,17
10170,23,23,23,23,23,23,23,23,23,23
10171,0,37,0,0,13,0,0,21,0,0
10172,0,0,0,0,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0,0,0
10174,0,0,0,26,0,0,13,14,0,3
10175,14,16,11,5,17,30,17,18,18,9
10176,0,0,0,22,0,16,0,0,0,0
10177,22,22,22,22,22,22,22,22,22,22
10178,3,3,3,3,3,3,3,3,3,3
10179,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,12,0,0,0
10182,32,32,32,32,32,32,32,32,32,32
10183,0,0,0,0,0,0,0,0,0,0
10184,0,0,0,0,0,0,0,0,0,0
10185,0,0,0,0,0,0,0,0,0,0
10186,0,29,0,0,0,0,0,0,0,0
10187,0,0,27,15,18,0,0,0,0,0
10188,14,5,12,12,17,21,13,8,10,22
10189,0,0,5,0,13,26,10,16,0,0
10190,0,0,0,0,0,0,0,0,0,0
10191,0,0,0,0,0,0,0,0,0,0
10192,9,9,9,9,9,9,9,9,9,9
10193,0,0,0,43,0,0,19,19,33,25
10194,14,14,14,14,14,14,14,14,14,14
10195,0,0,0,0,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0,0
10198,17,17,17,17,17,17,17,17,17,17
10199,10,10,10,10,10,10,10,10,10,10
10200,23,46,15,11,8,31,14,24,25,24
10201,11,0,20,5,0,0,0,0,0,0
10202,21,21,21,21,21,21,21,21,21,21
10203,32,18,10,10,25,0,11,15,18,12
10204,24,24,24,24,24,24,24,24,24,24
10205,0,0,0,0,0,0,0,0,0,0
10206,0,0,0,16,0,0,0,30,0,17
10207,20,20,20,20,20,20,20,20,20,20
10208,0,0,0,0,0,0,0,0,0,0
10209,0,0,0,0,0,0,16,0,16,6
10210,0,0,0,0,0,0,0,0,0,0
10211,0,0,0,0,0,0,0,0,0,0
10212,0,0,0,0,0,0,0,0,0,0
10213,0,0,0,0,0,0,0,0,0,0
10214,0,0,0,0,0,0,0,0,0,0
10215,0,0,0,0,0,0,0,0,0,3
10216,0,0,0,0,0,0,0,0,0,0
10217,0,0,0,0,0,0,0,0,0,0
10218,21,21,21,21,21,21,21,21,21,21
10219,0,0,24,0,0,0,0,0,0,0
10220,0,0,0,0,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,0,0
10222,12,12,12,12,12,12,12,12,12,12
10223,0,26,0,0,0,0,0,0,0,0
10224,0,0,0,0,0,0,0,0,0,0
10225,15,0,25,11,19,0,42,35,28,0
10226,33,33,33,33,33,33,33,33,33,33
10227,0,0,0,0,0,0,0,0,0,0
10228,0,0,0,0,0,0,0,0,0,0
10229,0,0,0,0,0,0,0,0,0,0
10230,16,16,16,16,16,16,16,16,16,16
10231,0,0,0,0,0,0,0,0,0,0
10232,0,0,0,0,0,0,0,0,18,0
10233,0,0,0,0,0,0,0,0,0,0
10234,29,29,29,29,29,29,29,29,29,29
10235,7,7,7,7,7,7,7,7,7,7
10236,25,25,25,25,25,25,25,25,25,25
10237,0,0,0,0,0,0,0,0,0,0
10238,0,0,0,0,0,0,0,0,0,0
10239,0,0,0,0,0,0,0,7,0,0
10240,23,23,23,23,23,23,23,23,23,23
10241,0,0,0,0,0,0,0,0,0,0
10242,4,4,4,4,4,4,4,4,4,4
10243,34,0,10,28,10,20,19,9,16,20
10244,23,7,7,23,14,17,12,16,16,11
10245,14,0,0,0,0,0,0,0,0,0
10246,0,0,0,0,0,0,0,0,0,0
10247,0,0,0,0,26,0,20,12,0,0
10248,0,0,0,0,0,0,0,0,0,0
10249,16,16,16,16,16,16,16,16,16,16
10250,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,0,0
10252,0,0,0,0,0,0,0,0,0,0
10253,5,5,5,36,5,5,5,5,5,5
10254,0,0,0,0,0,0,0,0,0,0
10255,0,0,0,0,0,0,0,0,0,0
10256,0,0,0,0,0,0,0,0,0,0
10257,0,16,0,14,0,16,0,0,0,0
10258,0,0,0,0,0,0,0,0,0,0
10259,0,0,0,0,0,9,0,0,0,0
10260,0,0,0,0,0,0,0,0,14,0
10261,0,0,0,0,0,0,0,0,0,0
10262,0,0,0,0,0,0,0,0,0,0
10263,23,23,23,23,23,23,23,23,23,23
10264,0,0,0,0,0,0,0,0,0,0
10265,9,15,0,0,0,0,0,0,0,0
10266,8,14,13,29,28,17,19,20,21,36
10267,0,0,0,0,0,0,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,10,10,10,10,10,10,10,10,10,10
10270,0,0,0,0,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0,0,0
10272,0,11,0,0,0,0,0,0,0,0
10273,23,0,25,0,29,14,3,0,9,7
10274,0,0,0,0,0,0,0,0,0,0
10275,0,0,0,0,0,0,0,0,0,0
10276,0,0,0,0,0,0,0,0,0,0
10277,9,9,9,9,9,9,9,9,9,9
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,4,30,0
10280,0,8,0,0,0,0,0,0,0,0
10281,0,0,11,0,7,0,0,0,0,0
10282,0,0,27,0,0,0,0,0,10,0
10283,0,25,33,0,0,8,0,12,0,12
10284,13,15,7,16,12,25,28,7,15,6
10285,17,17,17,17,17,17,17,17,17,17
10286,31,31,31,31,31,31,31,31,31,31
10287,21,12,0,0,0,0,0,0,0,0
10288,12,12,12,12,12,12,12,12,12,12
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,0,0,0,0,0,0,0,0
10291,0,0,0,0,0,0,0,0,0,0
10292,15,15,15,15,15,15,15,15,15,15
10293,0,0,0,0,0,0,0,0,0,0
10294,26,14,23,34,12,8,8,4,11,21
10295,0,0,0,0,0,0,0,0,0,0
10296,0,0,0,0,0,0,0,0,0,0
10297,0,0,0,0,0,0,0,0,0,0
10298,0,0,0,0,0,0,0,0,0,0
10299,18,21,18,7,11,12,17,5,18,5
10300,19,12,7,17,13,11,22,23,18,34
10301,0,0,0,0,0,0,0,0,0,0
10302,0,0,0,0,0,0,0,0,0,0
10303,0,0,0,0,0,0,0,0,0,0
10304,0,0,0,0,0,0,0,0,0,0
10305,14,14,14,14,14,14,14,14,14,14
10306,0,0,0,0,0,0,0,0,0,0
10307,0,0,0,0,0,0,0,0,0,0
10308,0,0,0,0,0,0,0,0,11,0
10309,0,0,0,0,0,0,0,0,13,0
10310,0,0,0,0,0,0,43,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0
10313,3,3,3,3,3,3,3,3,3,3
10314,14,0,0,15,0,0,0,0,0,0
10315,16,16,16,16,16,16,26,16,16,21
10316,1,1,1,1,1,1,1,1,1,1
10317,14,14,14,14,14,14,14,14,14,14
10318,0,0,0,0,0,0,0,0,0,0
10319,17,0,11,0,0,13,0,0,6,0
10320,18,18,18,18,18,18,18,18,18,18
10321,13,13,13,13,13,13,13,13,13,13
10322,0,0,18,0,17,0,0,0,0,0
10323,0,0,0,25,23,12,0,9,0,19
10324,0,0,29,14,0,13,20,0,13,0
10325,9,5,16,0,0,13,0,7,0,8
10326,14,0,33,0,43,14,0,19,6,0
10327,0,0,0,0,0,0,0,0,0,0
10328,0,0,0,0,0,0,0,0,0,0
10329,0,0,0,0,0,0,0,0,0,0
10330,0,22,27,0,0,0,17,12,19,0
10331,0,0,0,0,0,0,0,0,0,0
10332,0,0,0,0,0,0,0,0,0,0
10333,21,21,21,21,21,21,21,21,21,21
10334,0,0,0,0,0,0,0,0,0,0
10335,14,14,14,14,14,14,14,14,14,14
10336,9,27,14,26,28,15,19,15,17,18
10337,23,23,23,23,23,23,23,23,23,23
10338,0,0,0,0,0,0,0,0,0,0
10339,0,0,0,14,16,17,17,0,0,32
10340,19,19,19,19,19,19,19,19,19,19
10341,9,19,17,27,33,19,24,0,16,6
10343,0,0,0,0,0,0,8,0,15,17
10344,0,0,0,0,0,0,0,0,0,0
10345,0,0,0,0,0,0,0,0,0,0
10346,13,0,0,18,0,0,0,0,27,17
10347,10,14,24,7,0,0,0,0,0,0
10348,15,15,15,15,15,15,15,15,15,15
10349,0,0,0,0,0,0,0,0,0,0
10350,0,0,0,0,0,0,18,0,0,5
10351,0,0,0,0,0,0,0,0,0,0
10352,0,22,0,10,0,0,14,16,14,16
10353,18,0,22,10,16,0,22,0,0,0
10354,19,0,3,30,0,0,2,15,15,6
10355,0,0,0,30,0,0,8,0,34,14
10356,0,0,0,0,0,16,0,0,0,0
