STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
1,10015,0,1,8
1,10015,0,1,12
1,10021,0,1,3
1,10041,0,1,3
1,10055,0,1,5
1,10055,0,2,5
1,10061,0,1,8
1,10071,0,1,14
1,10072,0,1,3
1,10072,0,2,3
1,10074,0,1,3
1,10081,0,1,12
1,10081,0,2,12
1,10082,0,1,3
1,10087,0,1,3
1,10092,0,1,3
1,10096,0,1,99
1,10100,0,1,3
1,10122,0,1,3
1,10124,0,1,8
1,10149,0,1,99
1,10163,0,1,9
1,10163,0,2,9
1,10166,0,1,99
1,10182,0,1,3
1,10196,0,1,8
1,10223,0,1,8
1,10228,0,1,8
1,10244,0,1,3
1,10250,0,1,8
1,10253,0,1,9
1,10257,0,1,14
1,10258,0,1,6
1,10272,0,1,16
1,10281,0,1,12
1,10286,0,1,8
1,10296,0,1,12
1,10296,0,2,12
1,10306,0,1,12
1,10314,0,1,8
1,10314,0,1,12
1,10323,0,1,3
1,10344,0,1,5
1,10349,0,1,5
1,10351,0,1,5
1,10351,0,2,5
1,10354,0,1,5
1,10372,0,1,3
1,10376,0,1,3
1,10377,0,1,12
1,10386,0,1,3
1,10387,0,1,3
1,10391,0,1,3
1,10397,0,1,14
1,10400,0,1,9
1,10400,0,2,9
1,10406,0,1,5
1,10413,0,1,5
1,10415,0,1,8
1,10418,0,1,8
1,10424,0,1,5
1,10428,0,1,3
1,10433,0,1,3
1,10434,0,1,9
1,10445,0,1,9
1,10452,0,1,6
1,10455,0,1,5
1,10461,0,1,6
1,10473,0,1,3
1,10476,0,1,3
1,10476,0,2,3
1,10477,0,1,5
1,10477,0,2,5
1,10481,0,1,5
1,10491,0,1,5
1,10494,0,1,5
1,10499,0,1,12
1,10502,0,1,5
1,10502,0,2,5
1,10502,0,3,5
1,10511,0,1,99
1,10513,0,1,5
1,10517,0,1,8
1,10519,0,1,5
1,10534,0,1,8
1,10551,0,1,3
1,10557,0,1,5
1,10558,0,1,5
1,10562,0,1,6
1,10563,0,1,5
1,10571,0,1,3
1,10571,0,1,8
1,10572,0,1,8
1,10580,0,1,8
1,10592,0,1,3
1,10605,0,1,3
1,10606,0,1,3
1,10618,0,1,3
1,10623,0,1,14
1,10625,0,1,3
1,10636,0,1,3
1,10648,0,1,8
1,10648,0,2,8
1,10665,0,1,3
1,10680,0,1,3
1,10681,0,1,8
1,10681,0,1,12
1,10681,0,2,8
1,10681,0,2,12
1,10689,0,1,3
1,10694,0,1,3
1,10697,0,1,5
1,10701,0,1,3
1,10706,0,1,3
1,10710,0,1,99
1,10711,0,1,99
1,10713,0,1,3
1,10714,0,1,14
1,10717,0,1,6
1,10722,0,1,8
1,10725,0,1,3
1,10732,0,1,99
1,10740,0,1,3
1,10748,0,1,3
1,10752,0,1,6
2,20001,0,1,3
2,20009,0,1,3
2,20012,0,1,8
2,20018,0,1,3
2,20020,0,1,3
2,20025,0,1,3
2,20027,0,1,99
2,20028,0,1,99
2,20030,0,1,5
2,20039,0,1,3
2,20040,0,1,3
2,20041,0,1,3
2,20060,0,1,3
2,20061,0,1,99
2,20062,0,1,3
2,20063,0,1,8
2,20068,0,1,99
4,40002,0,1,99
4,40003,0,1,3
4,40011,0,1,99
4,40014,0,1,3
4,40018,0,1,3
4,40019,0,1,3
4,40021,0,1,9
4,40027,0,1,9
4,40029,0,1,99
4,40033,0,1,6
4,40036,0,1,6
4,40051,0,1,8
4,40057,0,1,3
4,40058,0,1,3
4,40063,0,1,3
4,40067,0,1,8
4,40080,0,1,3
4,40083,0,1,3
4,40092,0,1,99
4,40094,0,1,3
4,40104,0,1,3
4,40106,0,1,3
4,40108,0,1,8
4,40111,0,1,99
4,40112,0,1,3
4,40113,0,1,3
4,40114,0,1,3
4,40114,0,1,4
4,40115,0,1,3
4,40117,0,1,3
4,40118,0,1,3
4,40126,0,1,5
4,40129,0,1,3
4,40147,0,1,3
4,40152,0,1,3
4,40154,0,1,3
4,40156,0,1,3
4,40160,0,1,3
4,40165,0,1,3
4,40166,0,1,3
4,40169,0,1,3
4,40170,0,1,3
4,40170,0,2,3
4,40171,0,1,8
4,40174,0,1,3
4,40176,0,1,14
4,40180,0,1,3
4,40189,0,1,99
4,40191,0,1,3
4,40204,0,1,3
4,40208,0,1,3
4,40209,0,1,3
4,40217,0,1,3
4,40219,0,1,3
4,40221,0,1,3
4,40223,0,1,3
4,40224,0,1,3
4,40226,0,1,5
4,40227,0,1,99
4,40228,0,1,5
4,40233,0,1,3
4,40238,0,1,2
4,40245,0,1,5
4,40250,0,1,5
4,40250,0,2,5
4,40250,0,3,5
4,40252,0,1,3
4,40255,0,1,8
4,40257,0,1,3
4,40274,0,1,3
4,40281,0,1,3
4,40288,0,1,3
4,40292,0,1,5
4,40298,0,1,3
4,40301,0,1,3
4,40307,0,1,3
4,40308,0,1,3
4,40311,0,1,4
4,40311,0,1,5
4,40316,0,1,3
4,40317,0,1,3
4,40317,0,2,3
4,40321,0,1,8
4,40324,0,1,99
4,40327,0,1,3
4,40337,0,1,3
4,40338,0,1,3
4,40341,0,1,5
4,40344,0,1,99
4,40345,0,1,3
4,40346,0,1,3
4,40356,0,1,3
4,40363,0,1,3
4,40366,0,1,3
4,40366,0,1,4
4,40380,0,1,5
4,40381,0,1,3
