STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10007,3,2,0,3,1,18,40,12,7,3,0,1,6,22,18,22018,9,2001,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
1,10012,2,1,1,8,1,12,34,14,0,3,0,1,6,49,46,49046,5,2012,JTDKN3DU6C15,J,T,D,K,N,3,D,U,6,C,1,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,6,2,12,0,0,0,1
1,10101,2,1,0,20,2,13,30,14,0,3,0,1,6,99,999,99999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,8,8,12,0,0,0,0
1,10222,2,1,0,18,4,22,25,42,0,3,0,1,6,35,43,35043,4,1989,JN1GB21S8KU5,J,N,1,G,B,2,1,S,8,K,U,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,81,8,8,12,0,0,0,0
1,10343,2,1,0,21,6,20,15,59,0,3,0,1,6,6,441,6441,20,2003,2C8GP64L73R2,2,C,8,G,P,6,4,L,7,3,R,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,4,8,12,0,0,0,0
1,10353,3,2,1,24,6,1,55,12,9,4,0,1,3,20,2,20002,4,2012,6G1MK5R28CL6,6,G,1,M,K,5,R,2,8,C,L,6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,5,2,0,7,2,5,12,0,0,0,0
1,10363,2,1,0,27,6,18,34,14,0,2,0,1,6,63,37,63037,6,2013,KNDJT2A63D75,K,N,D,J,T,2,A,6,3,D,7,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10363,3,1,1,27,6,18,34,14,0,2,0,1,6,37,441,37441,20,2012,5FNRL5H65CB0,5,F,N,R,L,5,H,6,5,C,B,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10544,2,1,1,3,10,11,58,14,0,2,0,93,6,87,881,87881,66,2003,1XP5DB9X43D5,1,X,P,5,D,B,9,X,4,3,D,5,1,57,895164,57895164,3,6,1,1,0,0,0,0,0,0,0,0,6,4,5,12,0,0,0,0
1,10696,2,1,0,14,12,0,48,53,0,3,0,1,6,12,17,12017,4,2001,1FAFP53U81A1,1,F,A,F,P,5,3,U,8,1,A,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,6,2,12,0,0,0,0
