STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10055,1,1,12,9,9999,77
1,10055,2,1,12,9,9999,77
1,10056,1,1,0,2,9999,77
1,10056,2,1,55,63,5555,55
1,10056,3,1,12,42,9999,77
1,10056,4,1,12,42,9999,77
1,10056,5,1,12,42,9999,77
1,10057,1,1,55,63,5555,55
1,10057,2,1,12,42,9999,77
1,10057,3,1,3,42,9999,77
1,10058,1,2,12,12,1,6
1,10058,2,2,55,64,5555,55
1,10058,3,2,55,65,5555,55
1,10058,4,2,12,12,3,7
1,10058,5,3,98,12,4,7
1,10058,6,3,98,12,5,6
1,10059,1,1,55,68,5555,55
1,10059,2,1,1,12,2,12
1,10060,1,1,0,1,9999,77
1,10061,1,1,12,8,9999,77
1,10062,1,1,55,63,5555,55
1,10062,2,1,12,53,9999,77
1,10062,3,1,12,42,9999,77
1,10063,1,1,55,68,5555,55
1,10063,2,1,55,64,5555,55
1,10063,3,1,12,34,9999,77
1,10063,4,1,19,34,9999,77
1,10063,5,1,98,30,9999,77
1,10064,1,1,55,64,5555,55
1,10064,2,1,0,1,9999,77
1,10064,3,1,13,42,9999,77
1,10065,1,1,55,68,5555,55
1,10065,2,1,12,12,2,12
1,10066,1,1,55,63,5555,55
1,10066,2,1,12,43,9999,77
1,10066,3,1,12,42,9999,77
1,10066,4,1,0,1,9999,77
1,10066,5,1,13,42,9999,77
1,10067,1,1,12,12,2,12
1,10067,2,2,98,12,3,9
1,10068,1,1,12,12,2,12
1,10069,1,2,12,12,1,12
1,10070,1,2,55,63,5555,55
1,10070,2,1,55,64,5555,55
1,10070,3,1,12,12,2,12
1,10071,1,1,12,8,9999,77
1,10072,1,1,12,8,9999,77
1,10072,2,1,12,8,9999,77
1,10073,1,1,55,68,5555,55
1,10073,2,1,12,12,2,12
1,10074,1,1,12,8,9999,77
1,10075,1,1,12,12,2,6
1,10076,1,1,55,68,5555,55
1,10076,2,1,55,64,5555,55
1,10076,3,1,99,33,9999,77
1,10076,4,1,0,1,9999,77
1,10076,5,1,98,53,9999,77
1,10077,1,1,55,63,5555,55
1,10077,2,1,14,34,9999,77
1,10077,3,1,0,1,9999,77
1,10077,4,1,0,2,9999,77
1,10078,1,1,55,63,5555,55
1,10078,2,1,55,69,5555,55
1,10078,3,1,55,68,5555,55
1,10078,4,1,55,68,5555,55
1,10078,5,1,0,1,9999,77
1,10078,6,1,55,63,5555,55
1,10078,7,1,0,3,9999,77
1,10079,1,1,55,68,5555,55
1,10079,2,1,9,12,2,11
1,10079,3,1,55,68,5555,55
1,10079,4,1,55,63,5555,55
1,10079,5,1,98,59,9999,77
1,10079,6,1,98,42,9999,77
1,10080,1,1,55,63,5555,55
1,10080,2,1,1,24,9999,77
1,10080,3,1,55,69,5555,55
1,10080,4,1,55,64,5555,55
1,10080,5,1,12,23,9999,77
1,10080,6,1,0,1,9999,77
1,10081,1,2,12,12,1,6
1,10081,2,2,19,8,9999,77
1,10081,3,2,19,8,9999,77
1,10081,4,1,0,2,9999,77
1,10081,5,2,0,2,9999,77
1,10082,1,1,12,8,9999,77
1,10083,1,1,55,68,5555,55
1,10083,2,1,3,12,2,12
1,10084,1,1,55,68,5555,55
1,10084,2,1,55,68,5555,55
1,10084,3,1,55,63,5555,55
1,10084,4,1,0,1,9999,77
1,10085,1,1,55,68,5555,55
1,10085,2,1,55,64,5555,55
1,10085,3,1,12,42,9999,77
1,10085,4,1,10,42,9999,77
1,10086,1,1,55,68,5555,55
1,10086,2,1,55,64,5555,55
1,10086,3,1,9,42,9999,77
1,10086,4,1,55,69,5555,55
1,10086,5,1,55,64,5555,55
1,10086,6,1,6,59,9999,77
1,10086,7,1,6,42,9999,77
1,10087,1,1,12,8,9999,77
1,10087,2,2,12,8,9999,77
1,10088,1,1,55,68,5555,55
1,10088,2,1,55,64,5555,55
1,10088,3,1,12,32,9999,77
1,10088,4,1,0,1,9999,77
1,10089,1,1,12,12,2,6
1,10090,1,1,12,12,2,9
1,10091,1,2,12,12,1,2
1,10091,2,1,0,1,9999,77
1,10091,3,2,55,63,5555,55
1,10091,4,2,12,24,9999,77
1,10092,1,1,12,8,9999,77
1,10092,2,2,12,8,9999,77
1,10092,3,3,12,8,9999,77
1,10093,1,1,55,63,5555,55
1,10093,2,1,14,32,9999,77
1,10093,3,1,55,69,5555,55
1,10093,4,1,0,1,9999,77
1,10094,1,1,55,63,5555,55
1,10094,2,1,9,30,9999,77
1,10095,1,1,12,12,2,12
1,10095,2,2,98,12,3,12
1,10096,1,1,12,8,9999,77
1,10097,1,1,55,63,5555,55
1,10097,2,1,55,69,5555,55
1,10097,3,1,55,68,5555,55
1,10097,4,1,55,68,5555,55
1,10097,5,1,0,1,9999,77
1,10098,1,1,55,68,5555,55
1,10098,2,1,12,12,2,12
1,10098,3,1,0,1,9999,77
1,10098,4,3,55,63,5555,55
1,10098,5,3,1,23,9999,77
1,10098,6,3,55,69,5555,55
1,10098,7,3,12,12,1,12
1,10098,8,2,55,63,5555,55
1,10098,9,2,6,24,9999,77
1,10098,10,1,0,2,9999,77
1,10099,1,1,55,64,5555,55
1,10099,2,1,14,34,9999,77
1,10099,3,1,0,1,9999,77
1,10100,1,1,12,8,9999,77
1,10101,1,1,55,63,5555,55
1,10101,2,1,98,14,2,11
1,10101,3,1,12,40,9999,77
1,10101,4,1,55,67,5555,55
1,10101,5,1,3,42,9999,77
1,10101,6,1,0,1,9999,77
1,10102,1,1,55,68,5555,55
1,10102,2,1,10,12,2,10
1,10102,3,1,55,68,5555,55
1,10102,4,1,55,63,5555,55
1,10102,5,1,12,34,9999,77
1,10102,6,1,12,43,9999,77
1,10102,7,1,12,42,9999,77
1,10102,8,1,0,1,9999,77
1,10102,9,1,12,42,9999,77
1,10103,1,1,55,64,5555,55
1,10103,2,1,55,65,5555,55
1,10103,3,1,3,12,2,12
1,10104,1,1,55,68,5555,55
1,10104,2,1,55,64,5555,55
1,10104,3,1,55,67,5555,55
1,10104,4,1,12,17,9999,77
1,10104,5,1,0,1,9999,77
1,10104,6,1,0,3,9999,77
1,10105,1,1,55,64,5555,55
1,10105,2,1,14,34,9999,77
1,10105,3,1,55,65,5555,55
1,10105,4,2,12,12,1,2
1,10105,5,1,55,64,5555,55
1,10105,6,1,12,23,9999,77
1,10106,1,1,55,63,5555,55
1,10106,2,1,55,69,5555,55
1,10106,3,1,55,63,5555,55
1,10106,4,1,9,42,9999,77
1,10106,5,1,0,1,9999,77
1,10107,1,1,55,68,5555,55
1,10107,2,1,55,64,5555,55
1,10107,3,1,3,34,9999,77
1,10107,4,1,0,1,9999,77
1,10107,5,1,0,3,9999,77
1,10108,1,1,12,12,2,9
1,10109,1,1,55,63,5555,55
1,10109,2,1,55,69,5555,55
1,10109,3,1,55,68,5555,55
1,10109,4,1,55,64,5555,55
1,10109,5,1,0,1,9999,77
1,10109,6,1,14,42,9999,77
1,10110,1,1,55,68,5555,55
1,10110,2,1,55,64,5555,55
1,10110,3,1,6,10,9999,77
1,10111,1,1,55,68,5555,55
1,10111,2,2,12,12,1,2
1,10112,1,1,55,63,5555,55
1,10112,2,1,55,69,5555,55
1,10112,3,1,0,1,9999,77
1,10113,1,1,1,10,9999,77
1,10113,2,1,0,1,9999,77
1,10114,1,1,55,68,5555,55
1,10114,2,1,55,64,5555,55
1,10114,3,1,12,32,9999,77
1,10114,4,1,0,1,9999,77
1,10115,1,1,55,63,5555,55
1,10115,2,1,12,52,9999,77
1,10115,3,1,0,1,9999,77
1,10116,1,1,55,63,5555,55
1,10116,2,1,12,35,9999,77
1,10116,3,1,55,67,5555,55
1,10116,4,1,14,38,9999,77
1,10117,1,1,55,68,5555,55
1,10117,2,1,55,64,5555,55
1,10117,3,1,12,30,9999,77
1,10117,4,1,12,42,9999,77
1,10118,1,1,55,63,5555,55
1,10118,2,1,14,39,9999,77
1,10118,3,1,0,1,9999,77
1,10118,4,1,13,19,9999,77
1,10119,1,1,55,63,5555,55
1,10119,2,1,12,24,9999,77
1,10119,3,1,55,69,5555,55
1,10119,4,1,55,63,5555,55
1,10119,5,1,12,24,9999,77
1,10120,1,1,55,68,5555,55
1,10120,2,1,55,64,5555,55
1,10120,3,1,11,53,9999,77
1,10120,4,1,55,69,5555,55
1,10120,5,1,55,68,5555,55
1,10120,6,1,55,63,5555,55
1,10120,7,1,11,43,9999,77
1,10120,8,1,0,1,9999,77
1,10120,9,1,98,35,9999,77
1,10120,10,1,55,67,5555,55
1,10120,11,1,98,42,9999,77
1,10121,1,1,55,63,5555,55
1,10121,2,1,12,24,9999,77
1,10121,3,1,98,59,9999,77
1,10122,1,1,12,8,9999,77
1,10123,1,1,12,12,2,6
1,10124,1,1,12,8,9999,77
1,10125,1,1,55,68,5555,55
1,10125,2,1,55,64,5555,55
1,10125,3,1,12,32,9999,77
1,10125,4,1,0,1,9999,77
1,10126,1,1,55,63,5555,55
1,10126,2,1,55,69,5555,55
1,10126,3,1,55,68,5555,55
1,10126,4,1,55,64,5555,55
1,10126,5,1,6,34,9999,77
1,10127,1,1,2,10,9999,77
1,10128,1,1,55,63,5555,55
1,10128,2,1,12,35,9999,77
1,10128,3,1,55,67,5555,55
1,10128,4,1,12,42,9999,77
1,10129,1,1,55,68,5555,55
1,10129,2,1,12,12,2,12
1,10129,3,1,55,68,5555,55
1,10129,4,3,11,12,1,9
1,10129,5,4,12,12,1,12
1,10130,1,1,55,63,5555,55
1,10130,2,1,55,67,5555,55
1,10130,3,1,12,58,9999,77
1,10131,1,1,12,12,2,12
