STATE,ST_CASE,EVENTNUM,VEH_NO,VEventNum,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10035,5,3,1,1,12,12,3,12
1,10036,1,1,1,1,55,68,5555,55
1,10036,2,1,2,1,11,12,2,11
1,10036,2,2,1,1,11,12,2,11
1,10036,3,2,2,2,55,68,5555,55
1,10036,4,2,3,2,55,64,5555,55
1,10036,5,2,4,2,12,34,9999,77
1,10037,1,1,1,1,55,63,5555,55
1,10037,2,1,2,1,55,69,5555,55
1,10037,3,1,3,1,55,68,5555,55
1,10037,4,1,4,1,55,64,5555,55
1,10037,5,1,5,1,12,34,9999,77
1,10037,6,1,6,1,12,42,9999,77
1,10037,7,1,7,1,0,1,9999,77
1,10038,1,1,1,1,55,64,5555,55
1,10038,2,1,2,1,55,69,5555,55
1,10038,3,1,3,2,12,12,1,9
1,10038,3,2,1,2,12,12,1,9
1,10039,1,1,1,1,55,68,5555,55
1,10039,2,1,2,1,55,64,5555,55
1,10039,3,1,3,1,12,32,9999,77
1,10039,4,1,4,1,0,1,9999,77
1,10039,5,1,5,1,81,42,9999,77
1,10040,1,1,1,1,12,12,2,9
1,10040,2,1,2,1,55,68,5555,55
1,10040,3,1,3,1,12,12,3,12
1,10040,1,2,1,1,12,12,2,9
1,10040,3,3,1,1,12,12,3,12
1,10041,1,1,1,1,12,8,9999,77
1,10042,1,1,1,2,12,12,1,9
1,10042,1,2,1,2,12,12,1,9
1,10042,2,2,2,2,55,64,5555,55
1,10042,3,2,3,2,0,1,9999,77
1,10043,1,1,1,1,12,8,9999,77
1,10044,1,1,1,1,55,68,5555,55
1,10044,2,1,2,1,12,12,2,12
1,10044,2,2,1,1,12,12,2,12
1,10045,1,1,1,1,12,8,9999,77
1,10045,2,2,1,2,14,8,9999,77
1,10045,3,3,1,3,14,8,9999,77
1,10046,1,1,1,1,55,63,5555,55
1,10046,2,1,2,1,12,59,9999,77
1,10046,3,1,3,1,3,42,9999,77
1,10047,1,1,1,1,12,8,9999,77
1,10048,1,1,1,1,55,68,5555,55
1,10048,2,1,2,1,55,64,5555,55
1,10048,3,1,3,1,7,35,9999,77
1,10048,4,1,4,1,0,1,9999,77
1,10049,1,1,1,1,55,63,5555,55
1,10049,2,1,2,1,12,30,9999,77
1,10049,3,1,3,1,99,30,9999,77
1,10049,4,1,4,1,0,2,9999,77
1,10050,1,1,1,1,55,63,5555,55
1,10050,2,1,2,1,12,19,9999,77
1,10051,1,1,1,1,12,12,2,6
1,10051,2,1,2,1,12,8,9999,77
1,10051,1,2,1,1,12,12,2,6
1,10052,1,1,1,1,55,68,5555,55
1,10052,2,1,2,1,12,12,2,12
1,10052,4,1,3,1,55,64,5555,55
1,10052,5,1,4,3,12,12,1,12
1,10052,2,2,1,1,12,12,2,12
