STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
1,10009,0,1,2
1,10009,0,2,2
1,10012,0,1,3
1,10014,0,1,14
1,10017,0,1,3
1,10041,0,1,3
1,10043,0,1,3
1,10045,0,1,9
1,10047,0,1,3
1,10051,0,1,8
1,10078,0,1,3
1,10091,0,1,3
1,10096,0,1,5
1,10097,0,1,9
1,10101,0,1,3
1,10121,0,1,5
1,10142,0,1,3
1,10143,0,1,3
1,10170,0,1,3
1,10171,0,1,3
1,10171,0,2,3
1,10184,0,1,5
1,10197,0,1,5
1,10214,0,1,6
1,10214,0,1,12
1,10218,0,1,3
1,10228,0,1,3
1,10238,0,1,5
1,10239,0,1,6
1,10242,0,1,3
1,10264,0,1,5
1,10268,0,1,3
1,10269,0,1,3
1,10282,0,1,3
1,10301,0,1,3
1,10331,0,1,5
1,10346,0,1,3
1,10359,0,1,3
1,10359,0,1,12
1,10366,0,1,12
1,10382,0,1,3
1,10391,0,1,5
1,10399,0,1,5
1,10405,0,1,12
1,10405,0,1,14
1,10426,0,1,3
1,10428,0,1,3
1,10428,0,2,3
1,10440,0,1,12
1,10442,0,1,3
1,10455,0,1,6
1,10457,0,1,99
1,10466,0,1,8
1,10472,0,1,3
1,10484,0,1,3
1,10488,0,1,5
1,10512,0,1,8
1,10520,0,1,3
1,10524,0,1,3
1,10534,0,1,8
1,10573,0,1,3
1,10574,0,1,3
1,10582,0,1,3
1,10588,0,1,5
1,10599,0,1,3
1,10600,0,1,8
1,10614,0,1,3
1,10625,0,1,3
1,10630,0,1,12
1,10632,0,1,15
1,10632,0,2,15
1,10658,0,1,3
1,10660,0,1,3
1,10709,0,1,8
1,10716,0,1,3
1,10717,0,1,3
1,10721,0,1,3
1,10721,0,1,12
1,10724,0,1,3
1,10724,0,2,3
1,10725,0,1,8
1,10725,0,1,12
1,10725,0,2,8
1,10725,0,2,12
1,10726,0,1,3
1,10731,0,1,6
1,10732,0,1,3
1,10742,0,1,7
1,10746,0,1,3
1,10748,0,1,15
1,10750,0,1,99
1,10766,0,1,14
1,10773,0,1,8
1,10779,0,1,5
1,10785,0,1,8
1,10785,0,1,12
1,10788,0,1,8
1,10806,0,1,8
2,20008,0,1,5
2,20013,0,1,6
2,20017,0,1,6
2,20021,0,1,9
2,20027,0,1,5
2,20027,0,2,5
2,20028,0,1,2
2,20029,0,1,3
2,20037,0,1,9
2,20047,0,1,1
2,20047,0,1,9
2,20052,0,1,3
2,20053,0,1,8
4,40001,0,1,3
4,40003,0,1,5
4,40009,0,1,3
4,40013,0,1,8
4,40027,0,1,3
4,40034,0,1,8
4,40035,0,1,14
4,40036,0,1,99
4,40037,0,1,3
4,40038,0,1,6
4,40039,0,1,3
4,40039,0,1,4
4,40040,0,1,99
4,40041,0,1,14
4,40042,0,1,8
4,40047,0,1,4
4,40047,0,1,3
4,40059,0,1,3
4,40063,0,1,3
4,40065,0,1,3
4,40069,0,1,99
4,40072,0,1,3
4,40083,0,1,3
4,40090,0,1,8
4,40090,0,1,12
4,40090,0,2,3
4,40090,0,2,12
4,40094,0,1,3
4,40094,0,1,4
4,40096,0,1,2
4,40104,0,1,3
4,40105,0,1,5
4,40108,0,1,3
4,40112,0,1,5
4,40117,0,1,3
4,40120,0,1,3
4,40120,0,2,3
4,40122,0,1,3
4,40123,0,1,3
4,40129,0,1,99
4,40131,0,1,3
4,40133,0,1,3
4,40136,0,1,3
4,40139,0,1,3
4,40147,0,1,3
4,40147,0,1,4
4,40148,0,1,3
4,40150,0,1,3
4,40164,0,1,3
4,40165,0,1,3
4,40171,0,1,3
