STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10728,7,1,0,17,12,20,23,1,0,3,0,91,6,12,471,12471,30,2003,1FTYR10UX3PB,1,F,T,Y,R,1,0,U,X,3,P,B,T,FORD,RNG,PK,3,17,,1,1175,1116,RNG,G,,,6,182,,,,B,3085,03,U,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,98,8,8,54,0,0,0,0
1,10728,8,1,0,17,12,20,23,1,0,3,0,91,6,12,481,12481,31,2002,2FTRF17W62CA,2,F,T,R,F,1,7,W,6,2,C,A,T,FORD,F15,PK,2,17,,2,1385,1199,COF,G,,,8,281,,,,B,3990,03,U,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,98,8,8,54,0,0,0,0
2,20034,2,1,0,21,5,7,53,33,0,3,0,2,6,41,471,41471,30,1994,4F4CR16A6RTM,4,F,4,C,R,1,6,A,6,R,T,M,T,MAZD,2CP,PC,94,17,,1,0,1251,B23,G,,,4,140,,,,,3208,00,A,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,13,13,2,4,12,0,0,0,0
2,20047,2,1,0,30,8,8,17,33,0,3,0,2,6,23,431,23431,16,2001,1GKEK13T21R1,1,G,K,E,K,1,3,T,2,1,R,1,T,GMC,YUK,4W,1,17,,2,0,1160,YUK,G,,,8,325,,,,B,5113,00,K,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,4,12,0,0,0,0
4,40025,2,1,2,26,1,5,5,18,0,2,0,6,6,51,881,51881,66,2006,4V4NC9TJ86N4,4,V,4,N,C,9,T,J,8,6,N,4,T,VOLV,VNL,TR,6,17,,8,0,0,VVN,D,,,6,915,,,,,00000,00,,64,1,57,00250568,5700250568,3,6,1,1,0,0,0,0,0,0,0,0,6,98,6,2,14,0,0,0,0
4,40041,2,1,0,15,1,4,37,14,0,3,0,4,6,49,482,49482,31,2004,5TBET34114S4,5,T,B,E,T,3,4,1,1,4,S,4,T,TOYT,DBS,CW,4,17,,2,0,1283,TUN,G,,,8,285,,,,B,4730,00,U,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,62,62,4,4,14,0,0,0,0
4,40055,6,5,0,7,2,10,50,12,6,3,0,4,6,20,401,20401,14,1998,1GNCS18WXWK1,1,G,N,C,S,1,8,W,X,W,K,1,P,CHEV,BZR,UT,98,17,3515,,0,1005,,G,,F,6,262,,,15R235,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,4,14,0,0,0,0
4,40141,3,2,0,3,3,2,5,12,1,2,0,18,6,51,884,51884,66,2000,4V4ND3RJ6YN2,4,V,4,N,D,3,R,J,6,Y,N,2,T,VOLV,VVN,TR,0,17,,8,0,0,VVN,D,,,6,774,,,,,00000,00,,64,1,57,070851,57070851,3,6,1,1,0,0,0,0,0,0,0,0,6,6,9,1,12,0,0,0,0
4,40187,2,1,0,17,4,3,15,1,0,3,0,4,6,7,472,7472,30,2000,1B7GL22X0YS6,1,B,7,G,L,2,2,X,0,Y,S,6,T,DODG,DAK,PC,0,17,,1,0,1309,DAK,G,,,6,239,,,,B,3494,00,U,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,4,4,12,0,0,0,0
4,40187,3,1,0,17,4,3,15,1,0,3,0,4,6,49,442,49442,20,2004,5TDZA22C44S1,5,T,D,Z,A,2,2,C,4,4,S,1,P,TOYT,SIE,SV,4,17,4165,,0,1193,,G,,F,6,201,,,17R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,83,83,4,4,14,0,0,0,0
