ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,20,20,20,20,20,20,20,20,20,20
10002,0,9,0,25,12,0,13,0,15,0
10003,0,0,0,0,0,0,0,0,0,0
10005,0,0,0,0,17,0,0,0,0,26
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,0,0,0,12,0,0,17,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,10,10,10,10,10,10,10,10,10,10
10011,0,0,0,0,0,19,0,0,0,0
10012,0,0,0,0,0,0,0,0,34,0
10013,0,0,0,0,0,0,0,0,0,0
10014,0,0,0,0,0,0,0,0,0,0
10015,0,0,0,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,0,0,0,0,0,0,0,8
10018,24,17,12,12,11,16,8,11,9,26
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,28,0,0,0,0
10022,0,0,0,0,0,0,0,0,0,0
10023,40,40,40,40,40,40,40,40,40,40
10024,0,0,0,0,0,0,0,0,0,0
10025,0,0,0,0,0,0,0,0,15,0
10026,23,0,10,6,22,31,13,15,40,8
10027,0,0,0,0,0,0,0,0,0,0
10028,2,2,2,2,2,2,2,2,2,2
10029,0,0,0,0,0,0,0,0,0,0
10030,0,17,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0
10032,0,0,0,0,0,0,0,0,0,0
10033,33,0,0,21,0,0,0,10,0,0
10034,39,39,39,39,39,39,39,39,39,39
10035,0,8,7,0,0,0,0,0,0,0
10036,0,0,0,0,0,0,0,0,0,0
10037,22,22,22,22,22,22,22,22,22,22
10038,8,8,8,27,20,22,8,15,21,8
10039,0,0,0,0,0,0,0,0,0,0
10040,0,0,0,0,0,0,0,0,0,0
10041,6,6,6,6,6,6,6,6,6,6
10042,19,19,16,14,8,27,17,10,24,34
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,30,30,30,30,30,30,30,30,30,30
10046,14,14,14,14,14,14,14,14,14,14
10047,0,0,0,0,0,0,0,0,0,0
10048,1,1,1,1,1,1,1,1,1,1
10049,28,25,36,12,0,12,0,8,15,22
10050,0,0,0,0,0,0,0,0,18,16
10051,0,0,0,0,0,0,0,0,0,0
10052,0,0,0,0,0,0,0,0,0,0
10053,20,20,20,20,20,20,20,20,20,20
10054,0,0,0,0,0,0,0,0,17,0
10055,0,0,14,0,0,0,0,0,0,0
10056,6,7,12,8,0,19,0,0,0,16
10057,0,0,0,0,0,0,0,0,0,0
10058,22,22,22,22,22,22,22,22,22,22
10059,0,0,0,0,0,0,0,0,0,0
10060,0,0,0,0,0,0,0,0,0,0
10061,22,18,15,17,14,20,28,15,16,25
10062,0,0,0,0,0,0,0,0,0,0
10063,30,30,30,30,30,30,30,30,30,30
10064,0,0,0,0,0,0,0,13,0,0
10065,0,0,18,35,8,0,0,0,0,0
10066,21,21,21,21,21,21,21,21,21,21
10067,0,0,0,0,0,0,0,0,0,0
10068,31,31,31,31,31,31,31,31,31,31
10069,0,0,0,0,0,0,0,0,0,0
10070,3,3,3,3,3,3,3,3,3,3
10071,0,0,17,0,0,0,0,0,0,0
10072,5,5,5,5,5,5,5,5,5,5
10073,0,0,0,0,0,0,0,0,0,0
10074,0,0,0,0,0,0,0,0,0,0
10075,27,27,27,27,27,27,27,27,27,27
10076,0,0,0,0,0,0,0,0,0,0
10077,0,0,0,0,0,0,0,0,0,0
10078,0,0,0,0,0,0,0,0,17,3
10079,13,13,13,13,13,13,13,13,13,13
10080,0,0,0,0,0,0,0,18,0,0
10081,0,0,0,0,0,0,0,0,0,0
10082,0,0,0,0,0,0,0,0,0,0
10083,0,0,0,0,0,0,0,0,0,0
10084,0,0,0,25,0,0,0,0,0,0
10085,22,0,11,6,18,0,10,0,6,0
10086,0,0,0,0,0,0,0,0,0,0
10087,5,5,5,5,5,5,5,5,5,5
10088,0,0,0,0,0,0,0,0,0,0
10089,15,0,0,0,0,0,0,0,0,0
10090,65,65,65,65,65,65,65,65,65,65
10091,0,0,0,0,0,0,0,0,0,0
10092,0,0,0,0,0,0,0,0,0,0
10093,19,19,19,19,19,19,19,19,19,19
10094,0,0,0,0,0,0,0,0,0,0
10095,0,0,0,0,0,0,0,0,0,0
10096,14,16,16,19,11,16,26,13,24,7
10097,0,0,0,0,0,0,0,0,25,0
10098,0,0,0,0,0,0,0,0,0,0
10099,9,9,9,9,9,9,9,9,9,9
10100,8,0,0,0,15,0,7,0,0,18
10101,0,0,0,0,0,0,0,0,0,0
10102,9,9,9,9,9,9,9,9,9,9
10103,0,0,0,0,0,0,0,0,4,0
10104,0,0,0,0,0,0,0,0,0,0
10105,15,19,15,21,15,15,15,15,15,15
10106,0,0,0,0,0,0,0,0,0,0
10107,17,17,17,17,17,17,17,17,17,17
10108,0,0,0,0,0,0,0,0,0,3
10109,0,0,0,0,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,0,0
10113,20,20,20,20,20,20,20,20,20,20
10114,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0
10116,14,2,0,18,27,3,19,24,24,32
10117,0,0,0,0,0,0,0,0,0,0
10118,24,24,24,24,24,24,24,24,24,24
10119,0,0,0,0,0,3,0,0,0,0
10120,0,0,0,0,0,0,0,0,0,0
10121,0,28,3,0,0,5,27,0,15,0
10122,0,0,0,0,0,0,0,0,0,0
10123,8,8,8,8,8,8,8,8,8,8
10124,0,0,0,0,0,0,25,0,29,0
10125,0,0,0,0,0,0,0,0,0,0
10126,0,0,0,0,0,0,0,0,0,0
10127,0,0,0,0,0,0,0,0,0,0
10128,5,5,5,5,5,5,5,5,5,5
10129,0,0,0,0,0,0,0,0,0,0
10130,0,0,0,0,0,0,0,0,0,0
10131,5,22,0,17,26,19,15,20,0,16
10132,0,0,0,0,0,0,0,0,0,0
10133,0,0,0,0,0,0,0,0,0,0
10134,17,17,17,17,17,17,17,17,17,17
10135,32,0,0,0,0,0,0,0,0,0
10136,0,0,29,0,12,11,21,0,0,0
10137,0,0,0,0,0,0,0,0,0,0
10138,0,0,0,0,0,0,0,0,15,0
10139,0,3,0,0,0,0,0,39,0,9
10140,0,0,0,0,0,0,0,0,0,16
10141,41,41,41,41,41,41,41,41,41,41
10142,22,0,0,0,0,0,0,0,0,19
10143,0,0,0,0,0,0,0,0,0,0
10144,8,8,8,8,8,8,8,8,8,8
10145,21,6,13,17,10,12,6,13,12,16
10146,0,0,0,0,0,0,0,0,0,0
10147,28,28,28,28,28,28,28,28,28,28
10148,0,0,0,0,0,0,0,0,0,0
10149,22,17,7,25,0,11,7,9,16,28
10150,0,0,0,0,0,0,0,0,0,0
10151,0,0,0,0,0,0,0,0,0,0
10152,0,0,0,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,0
10155,0,0,0,0,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
10157,0,0,0,0,0,0,0,0,0,0
10158,19,19,19,19,19,19,19,19,19,19
