ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
450666,0,0,29,0,0,0,0,0,0,0
450667,0,0,0,0,0,5,0,0,0,0
450668,0,0,0,0,0,0,0,0,0,0
450669,0,0,0,0,0,0,0,0,0,0
450670,15,15,15,15,15,15,15,15,15,15
450671,0,0,0,0,0,0,0,0,0,0
450672,0,0,0,0,0,0,0,0,0,0
450673,17,17,17,17,17,17,17,17,17,17
450674,0,0,0,8,0,0,0,0,0,0
450675,0,0,0,0,0,17,0,0,0,30
450676,0,0,0,0,0,0,0,0,0,0
450677,0,0,0,0,0,0,0,0,0,0
450678,0,0,0,0,0,0,0,0,0,0
450679,68,68,68,68,68,68,68,68,68,68
450680,0,0,0,0,0,0,0,0,0,0
450681,9,9,9,9,9,9,9,9,9,9
450682,0,0,0,0,0,0,0,0,0,0
450683,0,0,0,0,0,0,0,0,0,0
450684,17,17,17,17,17,17,17,17,17,17
450685,2,2,2,2,2,2,2,2,2,2
450686,0,0,12,0,0,0,7,0,0,0
450687,12,12,12,12,12,12,12,12,12,12
450688,0,0,0,0,6,0,0,0,0,0
450689,29,0,19,5,7,11,0,18,0,0
450690,0,0,0,0,0,0,0,0,0,0
450691,0,0,0,0,0,0,0,0,0,0
450692,0,0,4,0,0,0,0,0,0,0
450693,0,0,0,0,0,0,0,0,0,0
450694,0,0,0,0,0,0,0,0,0,0
450695,13,13,13,13,13,13,13,13,13,13
450696,35,35,35,35,35,35,35,35,35,35
450697,28,28,28,28,28,28,28,28,28,28
450698,0,0,0,0,0,0,0,0,0,0
450699,21,21,21,21,21,21,21,21,21,21
450700,0,25,0,13,0,0,0,9,12,0
450701,0,0,0,0,0,0,0,0,0,0
450702,0,0,0,0,0,0,0,0,0,0
450703,19,19,19,19,19,19,19,19,19,19
450704,0,6,0,0,0,0,0,0,0,0
450705,15,15,20,0,14,14,12,15,14,13
450706,0,0,0,0,0,0,0,0,0,0
450707,1,1,1,1,1,1,1,1,1,1
450708,0,20,0,0,0,0,0,0,0,0
450709,7,7,7,7,7,7,7,7,7,7
450710,16,16,16,16,16,16,16,16,16,16
450711,12,12,12,12,12,12,12,12,12,12
