STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10039,2,2,1,1,12,12,2,12
1,10040,1,1,1,1,55,63,5555,55
1,10040,2,1,2,1,55,69,5555,55
1,10040,3,1,3,1,55,68,5555,55
1,10040,4,1,4,1,55,64,5555,55
1,10040,5,1,5,1,4,42,9999,77
1,10041,1,1,1,2,12,12,1,3
1,10041,4,1,2,1,55,64,5555,55
1,10041,5,1,3,1,98,34,9999,77
1,10041,1,2,1,2,12,12,1,3
1,10041,2,2,2,2,55,63,5555,55
1,10041,3,2,3,2,98,34,9999,77
1,10042,1,1,1,1,55,63,5555,55
1,10042,2,1,2,1,0,1,9999,77
1,10043,1,1,1,2,12,12,1,3
1,10043,3,1,2,1,55,64,5555,55
1,10043,4,1,3,1,98,46,9999,77
1,10043,5,1,4,1,55,69,5555,55
1,10043,6,1,5,1,2,12,3,1
1,10043,1,2,1,2,12,12,1,3
1,10043,2,2,2,2,12,12,3,9
1,10043,2,3,1,2,12,12,3,9
1,10043,6,3,2,1,2,12,3,1
1,10043,7,3,3,3,6,12,4,12
1,10043,7,4,1,3,6,12,4,12
1,10044,1,1,1,1,55,63,5555,55
1,10044,2,1,2,1,12,19,9999,77
1,10045,1,1,1,1,55,68,5555,55
1,10045,2,1,2,1,55,64,5555,55
1,10045,3,1,3,1,55,69,5555,55
1,10045,4,1,4,1,55,68,5555,55
1,10045,5,1,5,1,55,63,5555,55
1,10045,6,1,6,1,0,1,9999,77
1,10045,7,1,7,1,7,42,9999,77
1,10046,1,1,1,1,55,63,5555,55
1,10046,2,1,2,1,55,69,5555,55
1,10046,3,1,3,1,55,68,5555,55
1,10046,4,1,4,1,55,64,5555,55
1,10046,5,1,5,1,0,1,9999,77
1,10046,6,1,6,1,10,43,9999,77
1,10046,7,1,7,1,19,14,2,8
1,10046,8,1,8,1,98,14,2,6
1,10046,7,2,1,1,19,14,2,8
1,10046,8,2,2,1,98,14,2,6
1,10047,1,1,1,1,12,8,9999,77
1,10048,1,1,1,1,55,63,5555,55
1,10048,2,1,2,1,12,42,9999,77
1,10049,1,1,1,1,55,63,5555,55
1,10049,2,1,2,1,5,35,9999,77
1,10049,3,1,3,1,0,1,9999,77
1,10050,1,1,1,1,55,68,5555,55
1,10050,2,1,2,1,55,64,5555,55
1,10050,3,1,3,1,12,34,9999,77
1,10050,4,1,4,1,12,42,9999,77
1,10050,5,1,5,1,12,42,9999,77
1,10051,1,1,1,1,55,63,5555,55
1,10051,2,1,2,1,12,30,9999,77
1,10051,3,1,3,1,18,54,2,11
1,10051,3,2,1,1,18,54,2,11
1,10052,1,1,1,1,12,12,2,6
1,10052,1,2,1,1,12,12,2,6
1,10052,2,2,2,2,12,12,3,6
1,10052,2,3,1,2,12,12,3,6
1,10052,3,3,2,3,12,12,4,6
1,10052,3,4,1,3,12,12,4,6
1,10053,1,1,1,1,55,64,5555,55
1,10053,2,1,2,1,12,35,9999,77
1,10053,3,1,3,1,0,1,9999,77
1,10054,1,1,1,1,12,8,9999,77
1,10055,1,1,1,1,12,8,9999,77
1,10056,1,1,1,1,55,63,5555,55
1,10056,2,1,2,1,55,69,5555,55
1,10056,3,1,3,1,55,68,5555,55
1,10056,4,1,4,1,55,64,5555,55
