STATE,ST_CASE,VEH_NO,PER_NO,NMIMPAIR
4,40718,0,1,99
4,40721,0,1,99
4,40727,0,1,99
4,40731,0,1,98
4,40732,0,1,99
4,40738,0,1,0
4,40746,0,1,0
4,40747,0,1,99
4,40751,0,1,0
4,40752,0,1,99
4,40754,0,1,99
4,40760,0,1,9
4,40763,0,1,9
4,40765,0,1,0
4,40770,0,1,99
4,40771,0,1,98
4,40772,0,1,99
4,40775,0,1,9
4,40779,0,1,99
4,40782,0,1,0
4,40793,0,1,99
4,40794,0,1,1
4,40794,0,1,9
4,40795,0,1,0
4,40796,0,1,99
4,40799,0,1,99
4,40805,0,1,99
4,40806,0,1,99
4,40808,0,1,0
5,50004,0,1,99
5,50021,0,1,99
5,50026,0,1,98
5,50033,0,1,99
5,50038,0,1,98
5,50048,0,1,99
5,50053,0,1,5
5,50053,0,1,9
5,50070,0,1,99
5,50070,0,2,0
5,50072,0,1,99
5,50077,0,1,0
5,50089,0,1,99
5,50092,0,1,99
5,50102,0,1,10
5,50103,0,1,9
5,50111,0,1,99
5,50122,0,1,99
5,50128,0,1,99
5,50128,0,2,99
5,50133,0,1,98
5,50139,0,1,8
5,50156,0,1,99
5,50166,0,1,0
5,50171,0,1,99
5,50194,0,1,99
5,50235,0,1,4
5,50237,0,1,0
5,50237,0,2,0
5,50237,0,3,0
5,50237,0,4,0
5,50237,0,5,0
5,50237,0,6,0
5,50237,0,7,0
5,50237,0,8,0
5,50237,0,9,0
5,50245,0,1,8
5,50255,0,1,99
5,50265,0,1,99
5,50271,0,1,8
5,50273,0,1,9
5,50274,0,1,99
5,50287,0,1,99
5,50292,0,1,10
5,50316,0,1,10
5,50324,0,1,98
5,50330,0,1,99
5,50330,0,2,99
5,50341,0,1,99
5,50356,0,1,99
5,50360,0,1,99
5,50362,0,1,0
5,50368,0,1,99
5,50373,0,1,99
5,50378,0,1,99
5,50395,0,1,99
5,50399,0,1,99
5,50416,0,1,99
5,50417,0,1,99
5,50419,0,1,99
5,50428,0,1,0
5,50437,0,1,99
5,50459,0,1,98
6,60001,0,1,99
6,60004,0,1,99
6,60005,0,1,99
6,60011,0,1,98
6,60015,0,1,9
6,60016,0,1,0
6,60017,0,1,99
6,60019,0,1,99
6,60024,0,1,99
6,60025,0,1,99
6,60026,0,1,99
6,60027,0,1,0
6,60028,0,1,99
6,60030,0,1,3
6,60031,0,1,99
6,60033,0,1,99
6,60037,0,1,98
6,60037,0,2,98
6,60040,0,1,0
6,60040,0,2,0
6,60042,0,1,99
6,60043,0,1,0
6,60051,0,1,99
6,60052,0,1,99
6,60060,0,1,99
6,60063,0,1,99
6,60065,0,1,9
6,60068,0,1,0
6,60069,0,1,99
6,60074,0,1,0
6,60076,0,1,99
6,60078,0,1,0
6,60079,0,1,99
6,60086,0,1,0
6,60087,0,1,99
6,60090,0,1,99
6,60091,0,1,0
6,60094,0,1,99
6,60097,0,1,0
6,60099,0,1,99
6,60100,0,1,0
6,60103,0,1,0
6,60106,0,1,99
6,60109,0,1,99
6,60114,0,1,9
6,60118,0,1,99
6,60121,0,1,99
6,60122,0,1,0
6,60127,0,1,0
6,60130,0,1,9
6,60130,0,2,9
6,60131,0,1,99
6,60132,0,1,0
6,60134,0,1,99
6,60137,0,1,99
6,60137,0,2,0
6,60137,0,3,0
6,60137,0,4,0
6,60139,0,1,99
6,60139,0,2,99
6,60145,0,1,9
6,60148,0,1,99
6,60149,0,1,0
6,60150,0,1,0
6,60150,0,2,0
6,60152,0,1,99
6,60153,0,1,0
6,60158,0,1,99
6,60160,0,1,9
6,60164,0,1,98
6,60165,0,1,99
6,60169,0,1,99
6,60171,0,1,0
6,60173,0,1,99
6,60177,0,1,0
6,60177,0,2,0
6,60177,0,3,0
6,60180,0,1,9
6,60182,0,1,0
6,60185,0,1,9
6,60186,0,1,99
6,60193,0,1,0
6,60194,0,1,0
6,60198,0,1,99
6,60200,0,1,0
6,60201,0,1,0
6,60202,0,1,99
6,60206,0,1,99
6,60209,0,1,9
6,60213,0,1,0
6,60217,0,1,9
6,60221,0,1,0
6,60223,0,1,99
6,60228,0,1,0
6,60231,0,1,99
6,60233,0,1,99
6,60237,0,1,0
6,60238,0,1,0
6,60239,0,1,99
6,60240,0,1,0
6,60244,0,1,99
6,60245,0,1,0
6,60249,0,1,99
6,60250,0,1,99
6,60254,0,1,99
6,60256,0,1,0
6,60259,0,1,99
6,60261,0,1,9
6,60265,0,1,99
6,60268,0,1,99
6,60270,0,1,0
6,60273,0,1,0
6,60275,0,1,0
6,60276,0,1,0
6,60279,0,1,0
6,60282,0,1,9
6,60284,0,1,99
6,60288,0,1,0
6,60292,0,1,0
6,60293,0,1,0
6,60295,0,1,0
6,60295,0,2,0
6,60299,0,1,99
6,60301,0,1,0
6,60302,0,1,99
6,60307,0,1,99
6,60310,0,1,0
6,60320,0,1,99
6,60325,0,1,99
6,60326,0,1,0
6,60327,0,1,0
6,60329,0,1,99
6,60330,0,1,98
6,60332,0,1,99
6,60340,0,1,0
6,60340,0,2,0
6,60340,0,3,0
6,60340,0,4,0
6,60340,0,5,0
6,60346,0,1,9
6,60347,0,1,9
6,60348,0,1,0
6,60357,0,1,9
6,60363,0,1,99
6,60370,0,1,98
6,60371,0,1,99
6,60380,0,1,0
6,60384,0,1,9
6,60395,0,1,0
6,60396,0,1,0
6,60396,0,2,98
6,60400,0,1,9
6,60401,0,1,99
6,60402,0,1,99
6,60408,0,1,9
6,60415,0,1,99
6,60425,0,1,0
6,60426,0,1,0
6,60453,0,1,0
6,60463,0,1,99
6,60464,0,1,99
6,60475,0,1,0
6,60479,0,1,0
6,60481,0,1,0
6,60482,0,1,99
6,60483,0,1,99
6,60484,0,1,0
6,60485,0,1,99
6,60487,0,1,0
6,60491,0,1,0
6,60494,0,1,99
6,60496,0,1,9
6,60497,0,1,99
6,60505,0,1,99
6,60506,0,1,0
6,60508,0,1,0
6,60523,0,1,99
6,60531,0,1,0
6,60532,0,1,0
6,60533,0,1,99
6,60533,0,2,99
6,60534,0,1,99
6,60534,0,2,0
6,60538,0,1,99
6,60541,0,1,0
6,60542,0,1,0
6,60547,0,1,99
6,60557,0,1,0
6,60559,0,1,99
6,60562,0,1,99
6,60564,0,1,99
6,60568,0,1,99
6,60573,0,1,99
6,60583,0,1,99
6,60584,0,1,0
6,60585,0,1,99
6,60586,0,1,0
6,60590,0,1,0
6,60597,0,1,99
6,60602,0,1,0
6,60606,0,1,99
6,60607,0,1,9
6,60607,0,2,9
6,60611,0,1,0
6,60614,0,1,0
6,60616,0,1,9
6,60619,0,1,9
6,60625,0,1,0
6,60627,0,1,0
6,60628,0,1,9
6,60631,0,1,99
6,60633,0,1,0
6,60634,0,1,99
6,60639,0,1,99
6,60651,0,1,99
6,60655,0,1,0
6,60658,0,1,99
6,60659,0,1,99
6,60661,0,1,0
6,60664,0,1,99
6,60668,0,1,9
6,60671,0,1,0
6,60672,0,1,99
6,60681,0,1,9
