ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
480731,7,14,10,7,0,0,0,13,0,0
480732,0,20,15,15,24,19,16,14,13,21
480733,0,0,0,11,0,0,0,0,0,0
480734,0,0,0,0,0,0,0,0,0,0
480735,3,10,0,2,8,14,0,0,11,12
480736,14,17,25,0,10,5,0,30,0,0
480737,11,0,0,0,0,0,0,0,10,0
480739,7,5,0,9,6,26,3,0,0,0
480740,0,0,0,7,0,18,15,0,0,0
480741,0,11,0,0,16,0,0,0,0,0
480742,0,0,0,0,0,0,0,0,0,0
480743,5,17,10,13,7,16,16,15,10,13
480744,0,0,0,0,0,0,0,0,0,0
480745,17,16,10,25,16,26,27,25,0,15
480746,11,11,11,18,11,11,11,11,11,11
480747,0,0,0,0,0,0,0,0,0,0
480748,0,17,0,0,0,0,0,6,13,20
480749,0,0,0,0,0,0,0,0,0,0
480750,0,0,0,0,0,0,0,0,0,0
480751,0,0,0,0,10,0,0,0,0,0
480752,0,0,0,0,0,0,0,0,0,0
480753,11,11,11,11,11,11,11,11,11,11
480754,10,23,15,0,2,18,25,10,3,20
480755,0,22,0,0,0,0,12,0,0,22
480756,0,0,0,0,0,0,0,0,0,0
480757,14,0,0,0,0,0,0,0,0,0
480758,0,15,0,0,2,0,0,0,0,0
480759,0,0,16,0,0,0,0,0,0,5
480760,0,0,0,0,0,0,0,0,0,0
480761,7,0,0,0,0,0,10,0,0,28
480762,10,7,7,7,7,7,7,7,8,7
480763,8,0,16,0,0,0,0,0,0,0
480764,18,18,18,18,18,18,18,18,18,18
480765,25,25,25,25,25,25,25,25,25,25
480766,30,30,30,30,30,30,30,30,30,30
480767,20,20,23,27,20,20,20,20,20,20
480768,0,0,0,0,15,23,31,16,11,0
480769,16,16,16,16,16,16,16,16,16,16
480770,0,0,0,0,0,0,0,0,0,0
480771,0,13,0,0,0,0,14,0,0,12
480772,30,30,30,30,30,30,30,30,30,30
480773,0,0,0,0,0,0,0,3,0,0
480774,13,13,13,13,13,13,13,13,13,13
480775,0,0,0,0,0,25,0,5,0,0
480776,0,12,0,0,10,0,0,0,0,0
480777,13,13,13,13,14,13,13,18,16,13
480778,28,28,28,28,28,28,28,28,28,28
480779,7,7,7,7,22,7,7,7,7,25
480780,21,21,21,21,21,21,21,21,21,21
480781,0,22,0,11,8,20,9,0,0,44
480782,0,0,0,0,0,0,0,0,0,0
480783,0,0,0,0,0,0,0,0,0,0
