ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN,ROAD_FNC
410030,1,1,1,67,2,2,2015,15,3,45.43403056,-122.7649083,8,0,3,2,1,0,1,1,0,1,0,79,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,3
410031,1,0,2,5,2,2,2015,0,4,45.39798611,-122.5993944,30,0,1,1,4,0,2,1,0,1,1,46,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
410032,1,1,1,43,2,3,2015,17,6,44.61743333,-123.1314944,24,0,1,1,4,0,5,1,0,1,0,42,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4
410033,1,0,1,39,2,3,2015,13,4,44.14759722,-122.9451722,42,0,1,1,4,0,1,1,0,1,1,40,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,7
410034,1,0,1,39,2,4,2015,7,4,44.00683056,-123.2615722,31,0,1,1,5,0,4,1,0,1,1,27,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,5
410035,2,0,2,39,2,4,2015,7,4,43.75722778,-122.4851861,12,2,1,1,1,0,1,1,0,1,0,67,1,1,0,0,0,9,1,0,1,0,0,0,0,0.0,0,999,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,5
410036,2,0,2,19,2,4,2015,10,6,43.2387,-123.3689194,1,0,2,3,1,0,1,10,0,1,0,38,1,1,0,0,0,9,0,1,0,0,0,0,0,1.0,0,999,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
410037,1,0,1,29,2,4,2015,14,4,42.43284167,-123.1827528,42,0,1,1,4,0,1,1,0,1,0,62,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,5
410038,1,0,3,67,2,6,2015,9,2,45.69774444,-123.2156278,42,0,1,1,4,0,1,10,0,1,0,63,1,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,3
410039,2,0,3,5,2,6,2015,18,4,45.311175,-122.4560222,12,2,1,1,1,0,2,1,0,1,0,27,2,1,0,0,0,9,1,0,1,0,0,0,0,0.0,0,999,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,4
410040,1,1,2,67,2,7,2015,19,3,45.499625,-122.9228444,8,0,1,1,1,0,2,1,0,1,0,22,1,2,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
410041,1,4,1,39,2,1,2015,16,3,44.0457,-122.9347111,8,0,3,2,1,0,1,1,0,3,0,22,3,2,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3,3
