ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410001,1,1,1,67,1,2,2014,17,4,4,45.37966389,-122.8677361,8,0,1,1,1,0,2,1,0,1,0,46,1,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,1,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410002,1,0,1,35,1,5,2014,8,2,2,42.63596389,-121.8796972,42,0,1,1,4,0,1,1,0,1,0,73,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,999,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410003,2,0,3,53,1,5,2014,13,3,3,44.88388333,-123.3314222,12,2,1,1,1,0,1,1,0,1,0,53,2,1,0,0,0,9,0,0,1,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410004,1,0,1,29,1,2,2014,23,3,3,42.28788611,-122.9935944,53,0,1,1,5,0,2,2,0,1,1,42,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410005,2,0,2,35,1,4,2014,6,2,3,42.19495,-121.5987472,51,0,1,1,1,0,2,10,0,1,0,59,2,0,0,0,0,9,0,1,0,0,1,0,0,0.0,1,999,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410006,1,1,1,5,1,6,2014,23,16,6,45.39873889,-122.2670083,8,0,3,2,1,1,3,1,0,1,1,36,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,11
410007,2,0,7,47,1,7,2014,9,1,1,45.23926944,-122.8030111,12,1,5,1,1,0,1,5,0,1,0,37,6,1,0,0,0,9,0,0,1,0,1,0,0,0.0,1,999,0,0,0,1,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,99,0
410008,1,0,1,39,1,1,2014,18,5,4,44.07309722,-123.4001972,34,0,1,1,4,0,2,98,0,1,1,47,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410009,1,0,1,3,1,2,2014,2,4,4,44.36370833,-123.355775,42,0,3,2,4,0,2,1,0,1,1,36,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410010,1,0,1,39,1,3,2014,6,1,1,43.77261111,-123.0611667,1,0,5,1,8,0,4,10,0,1,0,49,1,0,0,0,0,9,0,0,0,0,1,0,0,0.0,1,999,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410011,1,1,1,19,1,4,2014,11,11,1,43.21419167,-123.3555472,8,0,18,1,1,0,1,10,0,1,0,42,2,0,0,0,0,9,0,0,0,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410012,1,1,1,51,1,5,2014,20,13,6,45.50457778,-122.4864833,8,0,1,1,1,0,3,2,0,1,0,44,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410013,2,0,2,5,1,6,2014,4,3,3,45.19256944,-122.5853583,12,2,2,2,1,0,2,10,0,1,0,47,1,1,0,0,0,9,0,2,0,0,0,0,0,0.0,0,999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
410014,2,0,3,31,1,6,2014,14,2,2,44.42262222,-121.7517944,12,2,1,1,1,0,1,1,0,2,0,48,2,1,0,0,0,9,0,1,1,0,0,0,0,0.0,0,999,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
