ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410286,1,1,1,29,11,4,2011,16,13,3,42.30719167,-122.85538611,8,0,3,2,1,0,1,1,0,1,0,32,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410287,1,0,1,47,11,6,2011,19,3,4,45.017825,-122.69537778,42,0,1,1,4,0,2,98,0,1,1,57,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,1,999,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410288,1,0,1,9,11,1,2011,99,4,4,46.09031111,-123.01715556,42,0,1,1,4,0,9,99,0,1,0,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,9,99,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410289,2,0,3,39,11,3,2011,12,2,2,44.01016111,-124.10163889,12,6,2,3,1,0,1,10,0,1,0,73,1,2,0,0,0,0,1,0,1,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,99,0
410290,1,1,1,59,12,4,2011,18,3,2,45.91665278,-119.29367222,8,0,1,1,1,0,2,10,0,1,0,46,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410291,1,0,2,19,12,4,2011,7,1,1,42.99637778,-123.322325,1,0,1,1,4,0,1,5,0,1,0,16,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,69
410292,1,0,1,59,12,5,2011,11,5,4,45.84848611,-119.22571111,10,0,6,1,1,0,1,10,0,1,0,63,1,0,0,0,0,9,0,0,0,0,0,0,1,0.0,1,999,0,0,0,0,9,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410293,1,0,1,11,12,4,2011,2,2,3,43.03029444,-124.02152222,11,0,1,1,1,0,3,5,0,1,1,24,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410294,1,0,1,5,12,5,2011,18,4,4,45.20156111,-122.57709444,30,0,1,1,4,0,2,1,0,1,0,77,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410295,2,0,4,39,12,1,2011,18,13,3,44.11188611,-123.18031944,12,2,1,1,1,0,2,10,0,1,1,31,3,1,0,0,0,9,1,1,0,0,0,0,0,0.0,0,999,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,99,0
410296,1,0,1,39,12,5,2011,2,2,3,44.102375,-122.68816944,42,0,1,1,4,0,2,1,0,1,1,56,0,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410297,1,1,1,17,12,6,2011,10,2,2,44.35382222,-121.17873611,9,0,2,2,1,8,1,98,0,1,0,50,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410298,1,0,1,5,12,1,2011,20,5,4,45.33185833,-122.34297778,1,0,1,1,4,0,2,5,0,1,0,18,0,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410299,1,0,1,47,12,2,2011,2,13,6,44.89253611,-123.03556389,17,0,3,3,4,0,3,1,0,1,1,28,0,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410300,1,1,1,33,12,4,2011,17,14,6,42.44045,-123.33771667,8,0,1,1,1,0,5,10,0,1,0,58,0,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410301,1,0,4,33,12,5,2011,0,6,4,42.30098611,-123.32945,1,0,1,1,4,0,2,1,0,1,1,30,2,2,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410302,1,0,1,17,12,5,2011,7,4,4,43.88997778,-121.40127778,42,0,1,1,4,0,2,1,0,1,0,57,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410303,1,0,1,17,12,6,2011,9,4,4,43.80173056,-121.57062778,42,0,1,1,4,8,1,98,0,1,0,70,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410304,1,0,1,5,12,6,2011,8,3,3,45.160275,-122.54534167,1,0,1,1,4,0,1,2,0,1,0,77,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410305,1,0,3,3,12,7,2011,9,2,2,44.57120556,-123.41956944,1,0,1,1,4,0,1,1,0,1,0,36,3,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410306,1,0,1,59,12,4,2011,15,4,4,45.67085556,-118.7311,32,0,1,1,4,0,1,2,0,1,0,48,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410307,1,1,2,51,12,7,2011,19,13,2,45.56265833,-122.58885833,8,0,3,3,1,0,3,1,0,1,0,58,3,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
