ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410021,1,0,1,57,2,7,2013,99,4,3,45.70115,-123.8800056,1,0,1,1,4,0,2,99,0,1,1,36,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410022,2,0,7,43,2,2,2013,16,3,4,44.28525833,-123.1277556,12,6,2,2,1,0,1,10,0,1,0,25,2,5,0,0,0,9,1,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0
410023,1,0,1,51,2,3,2013,16,14,6,45.50561944,-122.4966556,31,0,1,1,5,0,1,2,0,1,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410024,1,0,1,41,2,3,2013,14,4,4,44.71687778,-123.8802833,1,0,1,1,5,0,1,2,0,1,0,83,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410025,1,0,2,33,2,4,2013,13,2,2,42.05390833,-123.7125361,42,0,1,1,4,0,1,1,0,2,1,70,1,1,0,0,0,9,0,1,0,0,0,0,0,0.0,1,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410026,2,0,3,15,2,5,2013,18,2,2,42.38858889,-124.4226944,12,1,1,1,1,0,2,2,0,1,0,56,2,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,0
410027,1,0,2,11,2,1,2013,8,2,2,43.58891111,-124.1836361,42,0,1,1,4,0,1,10,0,1,0,60,1,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410028,1,0,1,29,2,3,2013,18,2,3,42.34078889,-122.9190278,30,0,1,1,4,0,2,1,0,1,0,54,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410029,1,1,1,51,2,5,2013,5,15,6,45.49032222,-122.6497083,8,0,1,1,1,0,3,10,0,1,0,56,2,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,7
410030,1,0,4,51,2,7,2013,20,15,6,45.51149722,-122.549275,42,0,1,1,5,0,3,10,0,1,1,999,2,1,0,1,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410031,1,0,1,5,2,4,2013,2,11,1,45.35658611,-122.6193222,35,0,1,1,4,0,3,1,0,1,1,36,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410032,1,1,1,67,2,2,2013,18,13,3,45.52141667,-122.9635944,8,0,1,1,1,0,2,10,0,1,0,48,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410033,1,1,1,47,2,2,2013,19,13,6,44.95973889,-122.9836056,8,0,1,1,1,0,3,1,0,1,0,44,1,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410034,1,1,1,7,2,4,2013,13,2,2,45.81900278,-123.9610917,8,0,1,1,1,0,1,2,0,1,0,45,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410035,2,0,2,59,2,4,2013,15,6,4,45.73242778,-118.7662083,12,6,2,2,1,0,1,10,0,1,0,37,1,1,0,0,0,0,1,1,0,0,0,0,0,0.0,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0
410036,1,0,1,39,2,5,2013,18,6,4,43.75035278,-122.987875,42,0,1,1,4,0,2,2,0,1,0,68,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410037,1,1,1,51,2,5,2013,19,15,6,45.48368889,-122.5235778,8,0,1,1,1,0,3,10,0,1,0,36,0,2,0,0,0,0,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410038,2,0,4,33,1,2,2013,17,2,2,42.22103056,-123.6476194,12,2,1,1,1,0,2,1,0,1,1,38,2,2,0,0,0,9,1,1,0,0,0,0,0,0.0,0,999,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410039,2,0,2,19,3,1,2013,4,1,1,42.96391944,-123.3323611,12,2,1,1,1,0,2,10,0,1,2,35,2,0,0,0,0,9,1,0,1,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410040,2,1,2,29,3,1,2013,20,14,4,42.41114167,-122.8853528,8,0,3,2,1,0,2,1,0,1,0,31,3,0,0,0,0,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,99,0
