ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410021,1,1,1,67,2,4,2012,20,13,6,45.44379722,-122.8043861,8,0,1,1,1,0,2,10,0,1,0,40,1,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410022,1,0,3,33,2,7,2012,22,3,3,42.34223333,-123.3154278,35,0,1,1,4,0,2,1,0,1,1,18,2,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,1
410023,3,0,6,17,2,2,2012,7,13,2,44.29663889,-121.1664528,12,6,1,1,1,0,4,5,0,2,0,23,3,3,0,0,0,9,2,0,1,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,99,0
410024,1,0,1,71,2,6,2012,23,3,3,45.41678333,-123.1338361,30,0,1,1,4,0,2,1,0,1,0,58,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410025,1,0,1,3,2,7,2012,0,3,3,44.51503056,-123.4298167,1,0,1,1,1,0,2,5,0,1,1,19,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410026,1,1,1,7,2,2,2012,10,14,2,46.18901944,-123.8301861,8,0,3,2,1,0,1,1,0,1,0,54,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,46
410027,2,0,3,35,2,3,2012,19,2,2,42.017875,-121.8832472,12,2,1,1,1,0,2,10,0,1,0,41,1,2,0,0,0,9,0,1,0,0,1,0,0,0.0,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410028,2,0,2,39,2,5,2012,17,3,3,44.14812778,-123.2004722,12,2,1,1,1,0,5,10,0,1,0,65,2,0,0,0,0,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410029,2,0,4,35,2,3,2012,17,2,2,43.44958333,-121.7054194,12,6,1,1,1,0,1,10,0,2,1,41,1,3,0,0,0,9,1,1,0,0,0,0,0,0.0,1,999,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
410030,1,0,1,29,2,5,2012,8,6,4,42.43980833,-122.8019361,42,0,1,1,5,0,1,1,0,1,1,47,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410031,1,1,1,17,2,5,2012,19,2,2,43.68706944,-121.4900389,8,0,1,1,1,0,2,1,0,1,0,47,2,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410032,1,0,1,39,2,7,2012,5,1,1,43.89191944,-123.0143361,1,0,1,1,4,0,2,3,0,1,0,66,0,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410033,1,0,1,47,2,1,2012,21,4,4,45.18018056,-122.7573333,35,0,1,1,4,0,2,10,0,1,1,21,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410034,1,0,1,59,2,2,2012,6,2,3,45.97938333,-118.3872917,1,0,1,1,5,0,1,4,0,1,0,61,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,1,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410035,1,1,1,51,2,4,2012,18,13,6,45.50498056,-122.4236167,15,0,3,2,1,0,2,10,0,1,0,41,0,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410036,1,0,1,71,2,3,2012,99,3,3,45.40216111,-123.1241306,5,0,1,1,4,0,2,99,0,1,0,29,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410038,1,1,2,47,2,4,2012,18,14,6,44.908925,-123.0764694,8,0,1,1,1,0,2,2,0,1,0,25,2,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410039,2,1,3,61,2,3,2012,13,4,4,45.60706389,-117.9167083,8,0,1,1,1,2,1,10,0,1,0,54,4,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,46,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,1
410040,1,1,1,51,2,4,2012,12,14,6,45.52288056,-122.6435583,8,0,1,1,1,0,1,4,0,1,0,38,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410041,1,0,1,53,3,5,2012,5,2,3,44.96426944,-123.2918028,1,0,1,1,5,0,2,4,0,1,0,22,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410042,1,1,1,9,3,3,2012,22,2,2,45.78928889,-122.8706083,8,0,1,1,1,0,2,1,0,1,0,21,2,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410043,1,1,1,3,3,6,2012,18,4,4,44.518225,-123.3670528,8,0,1,1,1,0,2,10,0,1,0,51,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410044,1,0,3,59,3,7,2012,22,2,2,45.63022222,-118.8124917,11,0,1,1,1,0,2,10,0,1,0,34,1,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
410045,1,0,4,51,3,2,2012,16,14,6,45.54615,-122.4958361,42,0,1,1,4,0,1,2,0,2,1,41,2,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410046,1,1,1,51,3,6,2012,2,13,2,45.497325,-122.6226472,8,0,3,2,1,0,3,2,0,1,1,28,2,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410047,2,0,3,53,3,7,2012,12,2,3,44.99371667,-123.3486944,12,2,1,1,1,0,1,3,0,1,0,75,1,2,0,0,0,0,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410048,2,0,3,17,3,7,2012,18,2,2,44.18513889,-121.3849083,12,2,1,1,1,0,1,1,0,2,2,51,2,1,0,0,0,9,2,0,0,0,0,0,0,0.0,1,999,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410049,2,0,2,5,3,6,2012,8,14,6,45.42287778,-122.4589139,12,2,1,1,1,0,1,1,0,1,0,41,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410050,2,0,2,39,3,6,2012,12,2,3,43.59268611,-122.0245639,12,2,1,1,1,0,1,4,0,1,0,37,1,1,0,0,1,9,0,1,1,0,0,0,0,0.0,0,999,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410051,1,1,2,51,1,5,2012,19,15,6,45.53426667,-122.4278917,8,0,2,3,1,0,3,1,0,1,0,49,1,2,0,0,0,1,1,0,0,0,0,0,0,0.0,0,999,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,9
410052,2,0,2,19,2,4,2012,9,2,2,43.77038056,-124.1382444,12,6,1,1,1,0,1,3,0,1,0,49,1,1,0,0,0,9,0,0,1,0,1,0,0,0.0,0,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
